# lambda(nm)  coeff spline
  403.906 0.96533997     0.0000e+00
  407.812 0.97096001    -2.6718e-04
  415.625 0.97478996     7.3038e-05
  423.438 0.97848999    -3.7742e-05
  439.062 0.98260002    -4.1354e-06
  470.312 0.98547997    -1.5373e-06
  501.562 0.98670998     1.4748e-07
  517.188 0.98711998    -2.8488e-06
  548.438 0.98657997     1.1731e-07
  579.687 0.98547997    -1.0613e-06
  603.125 0.98425003     3.7381e-07
  630.469 0.98274002    -1.0814e-06
  653.906 0.98110001     4.7338e-07
  681.250 0.97931999     2.3912e-07
  716.406 0.97739998     5.7072e-07
  763.281 0.97588997     6.9040e-07
  814.062 0.97466003    -2.2378e-06
  841.406 0.97425003     1.3530e-05
  857.031 0.97643997    -1.0919e-05
  868.750 0.97711998    -9.1325e-06
  892.187 0.97574997     3.0381e-06
  931.250 0.97466003     4.5048e-07
  993.750 0.97521004     1.6051e-07
 1048.437 0.97643997     2.9930e-07
 1118.750 0.97876999    -2.8044e-07
 1165.625 0.98014000     4.5266e-07
 1185.156 0.98082001    -6.8780e-07
 1333.594 0.98205002     4.2465e-07
 1392.187 0.98315002    -1.8454e-07
 1462.500 0.98425003     5.5728e-08
 1544.531 0.98547997    -9.6425e-08
 1626.562 0.98643997     8.9288e-08
 1708.594 0.98752998    -1.4482e-07
 1790.625 0.98821999     1.3334e-07
 1841.406 0.98889999     1.2481e-07
 1849.219 0.98903999     7.3842e-07
 1857.031 0.98917999    -3.0770e-06
 1868.750 0.98917999     5.8865e-07
 1880.469 0.98917999     7.2237e-07
 1915.625 0.98945000    -8.1180e-07
 1935.156 0.98945000     8.8645e-07
 1950.781 0.98959000     4.6638e-07
 1962.500 0.98973000    -1.8293e-06
 1978.125 0.98973000     1.4654e-06
 2001.562 0.99000000    -7.1603e-07
 2025.000 0.99014000    -2.1355e-08
 2060.156 0.99027000     1.6024e-07
 2099.219 0.99055000    -5.6732e-08
 2169.531 0.99096001    -2.6591e-08
 2251.562 0.99137001     8.6461e-08
 2314.062 0.99192001     0.0000e+00
