# lambda(nm)  coeff spline
  200.000 0.97000000     0.0000e+00
  250.000 0.97000000     2.1650e-13
  300.000 0.97000000    -8.6601e-13
  350.000 0.97000000     3.2475e-12
  400.000 0.97000000    -1.2124e-11
  450.000 0.97000000     4.5249e-11
  500.000 0.97000000    -1.6887e-10
  550.000 0.97000000     6.3024e-10
  600.000 0.97000000    -2.3521e-09
  650.000 0.97000000     8.7781e-09
  700.000 0.97000000    -3.2760e-08
  750.000 0.97000000     1.2226e-07
  800.000 0.97000000    -4.5629e-07
  850.000 0.97000000     1.7029e-06
  900.000 0.97000000    -6.3553e-06
  950.000 0.97000000     2.3718e-05
 1000.000 0.99699997    -2.3718e-05
 1050.000 0.99699997     6.3553e-06
 1100.000 0.99699997    -1.7029e-06
 1150.000 0.99699997     4.5629e-07
 1200.000 0.99699997    -1.2226e-07
 1250.000 0.99699997     3.2760e-08
 1300.000 0.99699997    -8.7781e-09
 1350.000 0.99699997     2.3521e-09
 1400.000 0.99699997    -6.3024e-10
 1450.000 0.99699997     1.6887e-10
 1500.000 0.99699997    -4.5249e-11
 1550.000 0.99699997     1.2124e-11
 1600.000 0.99699997    -3.2487e-12
 1650.000 0.99699997     8.7050e-13
 1700.000 0.99699997    -2.3325e-13
 1750.000 0.99699997     6.2499e-14
 1800.000 0.99699997    -1.6747e-14
 1850.000 0.99699997     4.4872e-15
 1900.000 0.99699997    -1.2023e-15
 1950.000 0.99699997     3.2217e-16
 2000.000 0.99699997    -8.6325e-17
 2050.000 0.99699997     2.3131e-17
 2100.000 0.99699997    -6.1978e-18
 2150.000 0.99699997     1.6607e-18
 2200.000 0.99699997    -4.4498e-19
 2250.000 0.99699997     1.1923e-19
 2300.000 0.99699997    -3.1948e-20
 2350.000 0.99699997     8.5606e-21
 2400.000 0.99699997    -2.2938e-21
 2450.000 0.99699997     6.1462e-22
 2500.000 0.99699997    -1.6469e-22
 2550.000 0.99699997     4.4128e-23
 2600.000 0.99699997    -1.1824e-23
 2650.000 0.99699997     3.1682e-24
 2700.000 0.99699997    -8.4892e-25
 2750.000 0.99699997     2.2747e-25
 2800.000 0.99699997    -6.0948e-26
 2850.000 0.99699997     1.6325e-26
 2900.000 0.99699997    -4.3535e-27
 2950.000 0.99699997     1.0884e-27
 3000.000 0.99699997     0.0000e+00
