# lambda(nm)  coeff spline
  220.000 0.91500000     0.0000e+00
  240.000 0.91900002    -2.3285e-06
  260.000 0.92199997    -5.6870e-06
  280.000 0.92300003    -4.9221e-06
  300.000 0.92300003     1.0374e-05
  315.000 0.92400002    -1.5185e-05
  320.000 0.92400002     1.0355e-05
  340.000 0.92500000    -7.0923e-06
  360.000 0.92500000     3.0143e-06
  380.000 0.92500000    -4.9648e-06
  400.000 0.92400002     1.8453e-06
  450.000 0.92199997    -1.9810e-06
  500.000 0.91800003     1.2789e-06
  550.000 0.91500000    -7.3488e-07
  600.000 0.91099998    -7.3934e-07
  650.000 0.90500000    -1.1077e-06
  700.000 0.89699997     3.6991e-07
  750.000 0.88599998    -7.5719e-06
  800.000 0.86699997     1.0717e-05
  850.000 0.86699997     1.0302e-05
  900.000 0.89099998     5.6744e-06
  950.000 0.92400002    -1.1399e-05
 1000.000 0.94000000    -8.7660e-07
 1500.000 0.97400002     4.4468e-08
 2000.000 0.97800003    -2.1274e-08
 3000.000 0.98000000     5.5870e-09
 4000.000 0.98199997    -1.0743e-09
 5000.000 0.98400002    -1.2895e-09
 6000.000 0.98500000     2.3172e-10
 7000.000 0.98599998     3.6258e-10
 8000.000 0.98699997    -1.6820e-09
 9000.000 0.98699997     3.6564e-10
10000.000 0.98699997     2.1948e-10
15000.000 0.98900002    -1.1987e-10
20000.000 0.99000000     1.9978e-11
30000.000 0.99199997     0.0000e+00
