# lambda(nm)  coeff spline
  220.000 0.73200005     0.0000e+00
  240.000 0.73520005    -1.8626e-06
  260.000 0.73760003    -4.5499e-06
  280.000 0.73840004    -3.9375e-06
  300.000 0.73840004     8.2996e-06
  315.000 0.73920006    -1.2148e-05
  320.000 0.73920006     8.2840e-06
  340.000 0.74000001    -5.6737e-06
  360.000 0.74000001     2.4113e-06
  380.000 0.74000001    -3.9717e-06
  400.000 0.73920006     1.4761e-06
  450.000 0.73760003    -1.5848e-06
  500.000 0.73440003     1.0232e-06
  550.000 0.73200005    -5.8799e-07
  600.000 0.72880000    -5.9142e-07
  650.000 0.72400004    -8.8611e-07
  700.000 0.71760005     2.9581e-07
  750.000 0.70879996    -6.0574e-06
  800.000 0.69360000     8.5739e-06
  850.000 0.69360000     8.2416e-06
  900.000 0.71279997     4.5396e-06
  950.000 0.73920006    -9.1196e-06
 1000.000 0.75200003    -7.0127e-07
 1500.000 0.77920008     3.5573e-08
 2000.000 0.78240007    -1.7019e-08
 3000.000 0.78400004     4.4694e-09
 4000.000 0.78559995    -8.5916e-10
 5000.000 0.78720003    -1.0316e-09
 6000.000 0.78800005     1.8527e-10
 7000.000 0.78880000     2.9020e-10
 8000.000 0.78960001    -1.3457e-09
 9000.000 0.78960001     2.9253e-10
10000.000 0.78960001     1.7558e-10
15000.000 0.79120004    -9.5891e-11
20000.000 0.79200006     1.5981e-11
30000.000 0.79360002     0.0000e+00
