# lambda(nm)  coeff spline
  166.475 0.10380600     0.0000e+00
  172.697 0.28373699     2.0864e-02
  175.895 0.55709301    -1.6798e-02
  179.152 0.73356400    -1.1553e-02
  185.848 0.80276802     3.2262e-03
  191.034 0.84775101    -1.7887e-03
  196.364 0.87197197    -7.2979e-04
  201.843 0.87543297     3.3485e-04
  213.264 0.89273399    -1.7692e-04
  233.754 0.89965401     1.9730e-05
  256.212 0.89965401    -4.2762e-06
  280.828 0.89965401    -1.6454e-06
  307.809 0.89965401     1.0195e-05
  334.301 0.90311401    -9.8987e-06
  366.419 0.90311401     3.3197e-06
  448.361 0.90657402    -2.2701e-06
  486.950 0.90657402     5.6622e-07
  533.734 0.90657402    -1.9410e-07
  585.013 0.90657402     2.2578e-07
  641.219 0.90657402    -6.8644e-07
  696.406 0.90657402     2.5412e-06
  749.437 0.91003502    -2.2730e-06
  821.440 0.91003502     5.8404e-07
  900.361 0.91003502    -1.6005e-07
  986.864 0.91003502     7.9277e-08
 1081.680 0.91003502    -1.5719e-07
 1185.600 0.91003502     5.2890e-07
 1311.480 0.91349503    -4.9116e-07
 1437.490 0.91349503     1.2651e-07
 1575.590 0.91349503    -3.5724e-08
 1726.970 0.91349503     2.1215e-08
 1892.890 0.91349503    -4.8549e-08
 2113.170 0.91349503     1.5426e-07
 2337.540 0.91695503    -1.5136e-07
 2562.120 0.91695503     3.9033e-08
 2808.280 0.91695503    -1.1202e-08
 3078.090 0.91695503     7.2336e-09
 3373.820 0.91695503    -1.7446e-08
 3697.960 0.91695503     6.0126e-08
 4053.250 0.92041496    -4.9587e-08
 4361.900 0.92041496    -4.5184e-08
 4780.970 0.91695503     7.5239e-08
 5337.340 0.91695503    -1.4075e-07
 5639.350 0.91003502     2.0627e-07
 6068.780 0.91003502    -2.8355e-07
 6471.280 0.88581299     5.4985e-08
 6837.460 0.85813103    -1.7180e-07
 7158.380 0.82698997     2.7207e-07
 7425.930 0.79584801    -1.4249e-06
 7846.130 0.70588203     3.0961e-06
 8290.100 0.57785500    -1.1708e-05
 8443.610 0.26643600     1.4162e-05
 8759.200 0.17301001    -3.4665e-06
 9003.609 0.12456700     0.0000e+00
