# lambda(nm)  coeff spline
  414.286 0.14968200     0.0000e+00
  442.857 0.17515900     3.4231e-05
  461.905 0.20382200     2.1963e-05
  476.190 0.23248400     6.2564e-05
  490.476 0.28025499     2.8951e-04
  500.000 0.32484100    -6.9877e-04
  509.524 0.36624199     2.2949e-03
  514.286 0.42356701    -2.6813e-03
  523.810 0.45222900     1.2088e-03
  528.571 0.48407600     2.7477e-03
  533.333 0.56369400     4.3958e-04
  538.095 0.64649696    -3.6631e-03
  547.619 0.67515900     1.7109e-03
  557.143 0.73566902    -1.0737e-03
  566.667 0.76751602     6.8799e-04
  576.190 0.81528702    -6.2452e-04
  585.714 0.83758003     1.2439e-04
  600.000 0.86942703    -4.5111e-05
  619.048 0.90445900    -5.8282e-05
  647.619 0.92675201     1.9839e-06
  685.714 0.94585999    -7.1247e-06
  728.571 0.95859901    -3.4563e-06
  776.190 0.96496803    -1.0545e-06
  819.048 0.96815300    -2.8314e-08
  866.667 0.97133797     1.2045e-07
  909.524 0.97452202     5.6033e-07
  957.143 0.97770699    -3.1714e-06
 1004.760 0.97770699     3.6976e-06
 1052.380 0.98089203    -3.1914e-06
 1095.240 0.98089203     2.8844e-09
 1142.860 0.98089203     2.8614e-06
 1190.480 0.98407600    -3.0240e-06
 1238.100 0.98407600     8.1007e-07
 1285.710 0.98407600    -2.1598e-07
 1333.330 0.98407600     5.3916e-08
 1380.950 0.98407600     3.1175e-10
 1428.570 0.98407600    -5.5163e-08
 1476.190 0.98407600     2.2034e-07
 1523.810 0.98407600    -8.2619e-07
 1571.430 0.98407600     3.0844e-06
 1619.050 0.98726097    -3.0845e-06
 1666.670 0.98726097     8.2649e-07
 1714.290 0.98726097    -2.2148e-07
 1761.900 0.98726097     5.9339e-08
 1809.520 0.98726097    -1.5900e-08
 1857.140 0.98726097     4.2604e-09
 1904.760 0.98726097    -1.1416e-09
 1952.380 0.98726097     3.0588e-10
 2000.000 0.98726097    -8.1960e-11
 2047.620 0.98726097     2.1961e-11
 2095.240 0.98726097    -5.8845e-12
 2142.860 0.98726097     1.5767e-12
 2190.480 0.98726097    -4.2249e-13
 2238.100 0.98726097     1.1322e-13
 2285.710 0.98726097    -3.0333e-14
 2333.330 0.98726097     8.1277e-15
 2380.950 0.98726097    -2.1778e-15
 2428.570 0.98726097     5.8333e-16
 2476.190 0.98726097    -1.5556e-16
 2523.810 0.98726097     3.8889e-17
 2571.430 0.98726097     0.0000e+00
