# lambda(nm)  coeff spline
  800.000 0.00017660     0.0000e+00
  801.000 0.00014067     9.6687e-05
  802.000 0.00016821    -5.9299e-06
  803.000 0.00019840    -5.7068e-05
  804.000 0.00018791    -9.8788e-06
  805.000 0.00017550     8.5063e-05
  806.000 0.00018483    -1.9993e-04
  807.000 0.00012731     3.1357e-04
  808.000 0.00020080    -2.6830e-04
  809.000 0.00017391     1.5734e-04
  810.000 0.00018852    -1.1204e-04
  811.000 0.00015020    -2.6737e-05
  812.000 0.00011234     2.2175e-04
  813.000 0.00017687    -2.4594e-04
  814.000 0.00013707     1.3601e-04
  815.000 0.00012386    -1.3856e-04
  816.000 0.00009375     3.1682e-04
  817.000 0.00018735    -3.8648e-04
  818.000 0.00012780     3.1018e-04
  819.000 0.00016387    -2.8052e-04
  820.000 0.00010443     2.3884e-04
  821.000 0.00015263    -2.9015e-05
  822.000 0.00017974    -2.4932e-04
  823.000 0.00011021     4.4647e-04
  824.000 0.00021403    -4.9646e-04
  825.000 0.00012767     3.9828e-04
  826.000 0.00017986    -2.6536e-04
  827.000 0.00014614     1.4772e-04
  828.000 0.00015674    -5.9583e-05
  829.000 0.00016409     7.1115e-05
  830.000 0.00017087    -2.2830e-04
  831.000 0.00010762     4.2189e-04
  832.000 0.00020682    -4.8457e-04
  833.000 0.00011155     3.4956e-04
  834.000 0.00015029    -1.0961e-04
  835.000 0.00016160    -7.5704e-05
  836.000 0.00012847     1.4579e-04
  837.000 0.00017376    -3.6918e-05
  838.000 0.00019465    -1.4451e-04
  839.000 0.00014013     1.6251e-04
  840.000 0.00015950    -6.2183e-05
  841.000 0.00016447    -1.7829e-07
  842.000 0.00015745    -9.0442e-06
  843.000 0.00015928     8.9455e-05
  844.000 0.00017758    -2.4996e-04
  845.000 0.00011447     4.2191e-04
  846.000 0.00020017    -5.4482e-04
  847.000 0.00007578     4.9682e-04
  848.000 0.00014271    -2.9454e-04
  849.000 0.00012756     1.8886e-04
  850.000 0.00017262    -9.9654e-05
  851.000 0.00016842    -8.5806e-05
  852.000 0.00013235     2.5166e-04
  853.000 0.00019317    -3.3949e-04
  854.000 0.00010830     2.3218e-04
  855.000 0.00011437    -4.3579e-05
  856.000 0.00014939     1.1584e-04
  857.000 0.00021008    -2.6576e-04
  858.000 0.00014716     2.0553e-04
  859.000 0.00018344     3.8844e-05
  860.000 0.00022996    -2.9946e-04
  861.000 0.00011950     2.1713e-04
  862.000 0.00012208     1.0917e-04
  863.000 0.00019727    -2.1816e-04
  864.000 0.00016970     1.4690e-04
  865.000 0.00017523    -1.7083e-04
  866.000 0.00014391     3.1534e-04
  867.000 0.00023051    -3.8299e-04
  868.000 0.00014597     1.8979e-04
  869.000 0.00013586     7.0397e-05
  870.000 0.00019931    -3.0024e-05
  871.000 0.00023132    -1.3894e-04
  872.000 0.00018305     1.0412e-04
  873.000 0.00018860     4.5399e-05
  874.000 0.00021114    -1.8377e-04
  875.000 0.00012847     5.8435e-05
  876.000 0.00010465     3.0314e-04
  877.000 0.00023095    -3.7026e-04
  878.000 0.00020525     2.6589e-04
  879.000 0.00024071    -3.2634e-04
  880.000 0.00014115     2.2934e-04
  881.000 0.00013515    -2.9672e-05
  882.000 0.00016443     1.0102e-04
  883.000 0.00019764    -3.5084e-04
  884.000 0.00009139     4.6559e-04
  885.000 0.00017961    -3.4471e-04
  886.000 0.00014568     1.8035e-04
  887.000 0.00015457    -1.1977e-04
  888.000 0.00014401     1.8204e-04
  889.000 0.00021770    -1.0290e-04
  890.000 0.00022222    -1.8548e-04
  891.000 0.00012439     2.3070e-04
  892.000 0.00015331     2.3185e-05
  893.000 0.00020275    -2.0032e-04
  894.000 0.00014373     1.2733e-04
  895.000 0.00014042     2.5256e-05
  896.000 0.00015689    -1.0967e-04
  897.000 0.00013990     2.1268e-04
  898.000 0.00019720    -2.9531e-04
  899.000 0.00014238     2.9582e-04
  900.000 0.00019134    -2.6530e-04
  901.000 0.00012786     9.0735e-05
  902.000 0.00010935     1.7218e-04
  903.000 0.00018468    -2.1641e-04
  904.000 0.00014856     2.4764e-05
  905.000 0.00011067     1.0673e-04
  906.000 0.00013042    -1.0586e-04
  907.000 0.00012836     1.8585e-04
