# lambda(nm)  coeff spline
  900.000 0.97392702     0.0000e+00
  900.501 0.97160399     4.5769e-02
  901.002 0.97518700    -4.1901e-02
  901.502 0.97328800    -9.4932e-03
  902.003 0.96944797     3.3440e-02
  902.504 0.97129601     1.1700e-02
  903.005 0.97811699     3.8644e-02
  903.506 0.98990601    -4.7506e-02
  904.007 0.99436998    -2.3735e-02
  904.508 0.99354798     1.6100e-02
  905.008 0.99383003    -1.4223e-02
  905.509 0.99267399     6.3759e-03
  906.010 0.99110198    -2.1225e-02
  906.511 0.98398000    -5.4124e-02
  907.012 0.96963298     6.4989e-02
  907.512 0.96652699     6.3118e-02
  908.013 0.97421199    -5.9000e-02
  908.514 0.97554702     2.1085e-02
  909.015 0.97828102     8.1112e-03
  909.516 0.98171097    -3.6892e-02
  910.017 0.97939998     2.2262e-03
  910.518 0.97724801     3.1786e-02
  911.018 0.98115200     1.5743e-02
  911.519 0.98569399    -7.9564e-02
  912.020 0.98058802     7.1888e-02
  912.521 0.98205501    -5.0875e-02
  913.022 0.97678298    -2.9494e-02
  913.523 0.96791500     8.2908e-02
  914.023 0.97355300     4.5282e-02
  914.524 0.98668897    -8.4749e-02
  915.025 0.98387003    -8.7658e-02
  915.526 0.96793199     1.2175e-01
  916.027 0.97134203     6.3155e-02
  916.528 0.98656899    -9.1888e-02
  917.028 0.98663199    -5.8591e-02
  917.529 0.97632301     7.7883e-02
  918.030 0.97757000     2.3295e-02
  918.531 0.98513299    -2.0081e-02
  919.032 0.98940402    -2.1669e-02
  919.533 0.98964697     1.0465e-02
  920.033 0.99145299     1.7347e-02
  920.534 0.99530602    -3.0926e-02
  921.035 0.99447000    -5.7270e-03
  921.536 0.99180001     9.9976e-03
  922.037 0.99134499     1.8679e-02
  922.538 0.99381900    -1.4692e-02
  923.038 0.99436700    -5.9958e-03
  923.539 0.99327099    -7.0021e-04
  924.040 0.99189800     2.1789e-03
  924.541 0.99090701     1.1128e-03
  925.042 0.99080002     1.4503e-02
  925.543 0.99266601    -1.1966e-02
  926.043 0.99313200    -1.2716e-04
  926.544 0.99357200     1.1803e-02
  927.045 0.99457198    -3.3697e-02
  927.546 0.98942697    -2.3893e-02
  928.047 0.98058599     4.0907e-02
  928.548 0.97800601     9.9453e-03
  929.048 0.97731000    -3.5712e-02
  929.549 0.96989000    -2.7933e-02
  930.050 0.95725298     2.2764e-02
  930.551 0.94543898    -4.3487e-02
  931.052 0.92629999    -2.3860e-02
  931.553 0.90095001    -9.5991e-03
  932.053 0.87758601     1.0888e-01
  932.554 0.87415802     5.2101e-02
  933.055 0.88010401    -9.3180e-02
  933.556 0.86817902    -1.0654e-01
  934.057 0.83125001    -7.8404e-02
  934.558 0.80082101     5.7555e-01
  935.058 0.84608197    -4.1076e-01
  935.559 0.84359002    -7.6715e-02
  936.060 0.82858002     4.1837e-01
  936.561 0.86172301    -4.4572e-01
  937.062 0.84682101     2.1605e-01
  937.563 0.84859103    -1.9951e-02
  938.063 0.85611701     1.6182e-03
  938.564 0.87098098     1.8854e-01
  939.065 0.91693199    -1.2611e-02
  939.566 0.95811898    -2.5208e-01
  940.067 0.95784700     2.9960e-02
  940.568 0.95079899    -2.9757e-02
  941.068 0.94110602     2.5315e-02
  941.569 0.93627602     4.5246e-02
  942.070 0.93304199    -1.6812e-01
  942.571 0.89896399    -1.1009e-01
  943.072 0.86138803     5.2494e-01
  943.573 0.88364202    -5.5957e-01
  944.073 0.84521300     2.5914e-01
  944.574 0.84656399     4.7571e-01
  945.075 0.91539901    -5.4866e-01
  945.576 0.90765601    -1.1160e-01
  946.077 0.87346601     3.6286e-01
  946.578 0.89546603     3.3087e-03
  947.078 0.92749798    -1.3500e-01
  947.579 0.92958701    -1.8110e-01
  948.080 0.90262699     1.6500e-01
  948.581 0.90596902     2.4551e-01
  949.082 0.93578202    -5.1429e-01
  949.583 0.89271402     6.9507e-02
  950.083 0.85658902     4.0161e-01
  950.584 0.89477903     1.0404e-01
  951.085 0.95077801    -3.9203e-01
  951.586 0.93864697    -1.6452e-01
  952.087 0.89376903     2.6731e-01
  952.588 0.89380997     1.6905e-01
  953.088 0.92851001    -1.1296e-01
  953.589 0.94572502    -1.3696e-01
  954.090 0.93173802    -8.5046e-02
  954.591 0.90923899     2.7365e-01
  955.092 0.92330098    -1.3559e-01
  955.593 0.92732400     2.8743e-02
  956.093 0.92772901    -6.5879e-02
  956.594 0.91964102     3.1513e-02
  957.095 0.92338699     2.2269e-01
  957.596 0.95358998    -2.8983e-01
  958.097 0.94701201     5.7314e-02
  958.598 0.93652999    -3.2741e-02
  959.098 0.92582899     6.7859e-02
  959.599 0.93010002     1.1993e-01
  960.100 0.95176399    -1.3182e-01
  960.601 0.95755303     2.7817e-02
  961.102 0.96319997     1.7127e-02
  961.603 0.96808600    -1.1451e-01
  962.103 0.95619202     3.8881e-02
  962.604 0.95183802     1.3969e-01
  963.105 0.96777999    -1.1251e-01
  963.606 0.96764898    -7.3857e-02
  964.107 0.95440102     9.4354e-02
  964.608 0.95552802     4.0065e-02
  965.109 0.96792901     1.4890e-02
  965.609 0.97940898    -1.2128e-01
  966.110 0.97172302     1.1074e-02
  966.611 0.96470797     9.3033e-02
  967.112 0.97382098     2.3146e-03
  967.613 0.98443198    -6.6480e-02
  968.114 0.98473102     1.7095e-02
  968.614 0.98652703     3.4121e-02
  969.115 0.99301398    -4.1370e-02
  969.616 0.99305397    -2.2742e-02
  970.117 0.98864299     2.5929e-02
  970.618 0.98862100     2.3941e-02
  971.119 0.99161798    -4.9527e-02
  971.619 0.98852801     2.8387e-02
  972.120 0.98792201    -4.4897e-03
  972.621 0.98804802     7.0713e-03
  973.122 0.98763102    -3.6778e-02
  973.623 0.98207599     1.7206e-02
  974.124 0.97850400     1.5364e-02
  974.624 0.97819000    -7.4394e-04
  975.125 0.97822398    -4.0243e-03
  975.626 0.97751600    -8.9539e-04
  976.127 0.97779697     3.1244e-02
  976.628 0.98374897     1.1487e-02
  977.129 0.99136603    -3.7386e-02
  977.629 0.99205798    -2.7654e-02
  978.130 0.98766202     2.6169e-02
  978.631 0.98680502     7.5789e-03
  979.132 0.98758203    -1.7429e-02
  979.633 0.98648900     1.7429e-02
  980.134 0.98761600     7.7711e-04
  980.634 0.99049699     2.1586e-02
  981.135 0.99567801    -3.2203e-02
  981.636 0.99633503    -9.0601e-04
  982.137 0.99518502    -7.3683e-03
  982.638 0.99345499     1.6512e-02
  983.139 0.99446702     6.8745e-03
  983.639 0.99693900    -8.9825e-03
  984.140 0.99779600    -9.6903e-03
  984.641 0.99684697     4.5727e-03
  985.142 0.99668998     1.0331e-02
  985.643 0.99827600    -4.2352e-03
  986.144 0.99937201    -5.1005e-03
  986.644 0.99931997    -2.8347e-03
  987.145 0.99868703     2.5346e-03
  987.646 0.99856299     4.8626e-03
  988.147 0.99927801    -1.9292e-03
  988.648 0.99977702    -2.3077e-03
  989.149 0.99974197    -1.6074e-03
  989.649 0.99936700     5.8842e-04
  990.150 0.99916297     3.3572e-03
  990.651 0.99948698    -1.3951e-03
  991.152 0.99970502    -3.0928e-04
  991.653 0.99979699    -3.8164e-04
  992.154 0.99974400    -1.6292e-03
  992.654 0.99945700     1.2880e-03
  993.155 0.99941498     2.3478e-03
  993.656 0.99975097    -1.6424e-03
  994.157 0.99990100    -2.2421e-04
  994.658 0.99993801    -1.6179e-04
  995.159 0.99992502    -3.2416e-04
  995.659 0.99987400     5.4673e-04
  996.160 0.99989802    -6.4862e-05
  996.661 0.99992299    -2.6450e-04
  997.162 0.99990201     2.4388e-05
  997.663 0.99987298    -2.5335e-05
  998.164 0.99985600     3.6471e-04
  998.664 0.99988103    -4.2715e-04
  999.165 0.99984300    -1.6580e-04
  999.666 0.99978298     5.6456e-04
 1000.170 0.99982297     2.8422e-04
 1000.670 0.99990398    -7.1868e-04
 1001.170 0.99980003    -1.8476e-03
 1001.670 0.99939698     9.2968e-04
 1002.170 0.99920499     3.1955e-03
 1002.670 0.99955702    -6.5730e-04
 1003.170 0.99985600    -1.8387e-03
 1003.670 0.99981099    -2.4396e-04
 1004.170 0.99970800     1.4223e-03
 1004.670 0.99980402    -6.6932e-04
 1005.180 0.99982703    -4.7162e-04
 1005.680 0.99978000     9.1783e-04
 1006.180 0.99985099    -3.6765e-04
 1006.680 0.99989200    -1.6657e-04
 1007.180 0.99987400    -3.8249e-04
 1007.680 0.99978799     6.4662e-05
 1008.180 0.99971199     3.6379e-04
 1008.680 0.99963701    -1.4952e-03
 1009.180 0.99938500     1.3674e-03
 1009.680 0.99936497     1.5932e-03
 1010.180 0.99963897    -6.8359e-04
 1010.680 0.99984401    -5.1435e-04
 1011.190 0.99990600    -6.8783e-04
 1011.690 0.99982500    -9.8702e-05
 1012.190 0.99975401     1.3231e-03
 1012.690 0.99987298    -6.3403e-04
 1013.190 0.99993902    -5.7636e-05
 1013.690 0.99995500    -3.3677e-04
 1014.190 0.99991697     1.0850e-04
 1014.690 0.99988699     9.6104e-05
 1015.190 0.99987000    -1.8136e-04
 1015.690 0.99985701     7.2519e-04
 1016.190 0.99993098    -6.3273e-04
 1016.690 0.99992502    -1.1220e-04
 1017.200 0.99988902     3.7444e-04
 1017.700 0.99991900     1.6854e-04
 1018.200 0.99997401    -4.4791e-04
 1018.700 0.99991697    -1.0660e-03
 1019.200 0.99972397     1.4483e-03
 1019.700 0.99975401     6.2556e-04
 1020.200 0.99991399    -8.3197e-04
 1020.700 0.99995899    -5.7798e-05
 1021.200 0.99994600    -3.2897e-04
 1021.700 0.99990100     6.0563e-04
 1022.200 0.99991798    -6.0607e-04
 1022.700 0.99985999     1.8753e-05
 1023.210 0.99974900    -6.7513e-04
 1023.710 0.99958801     1.4558e-03
 1024.210 0.99967802     8.7652e-04
 1024.710 0.99991798    -1.3641e-03
 1025.210 0.99996400    -7.3249e-05
 1025.710 0.99994600     1.2059e-04
 1026.210 0.99994802     7.1696e-05
 1026.710 0.99994200    -6.0034e-04
 1027.210 0.99985802     4.5814e-04
 1027.710 0.99984598     4.9498e-04
 1028.210 0.99991399    -5.1741e-04
 1028.710 0.99992800     2.7906e-04
 1029.220 0.99996299    -1.2059e-04
 1029.720 0.99998701    -4.4204e-05
 1030.220 0.99999702    -3.8769e-05
 1030.720 0.99999303    -1.3689e-04
 1031.220 0.99997002     1.3000e-04
 1031.720 0.99996901     1.4467e-04
 1032.220 0.99999201    -1.3211e-04
 1032.720 0.99999899    -1.1890e-06
 1033.220 1.00000000    -6.1861e-06
 1033.720 1.00000000     1.6214e-06
 1034.220 1.00000000    -3.0017e-07
 1034.720 1.00000000    -4.2071e-07
 1035.230 0.99999899    -2.1413e-05
 1035.730 0.99999303    -3.2272e-05
 1036.230 0.99997401    -1.6278e-04
 1036.730 0.99993199     1.3152e-04
 1037.230 0.99991697     2.8451e-04
 1037.730 0.99995297    -4.4797e-05
 1038.230 0.99998599    -1.7685e-04
 1038.730 0.99998599    -4.0294e-05
 1039.230 0.99997401     5.0495e-05
 1039.730 0.99997002     3.0003e-05
 1040.230 0.99997503     4.5502e-05
 1040.730 0.99998802    -2.0320e-05
 1041.240 0.99999797    -4.0246e-05
 1041.740 1.00000000    -2.2486e-06
 1042.240 1.00000000     6.0251e-07
 1042.740 1.00000000    -1.6144e-07
 1043.240 1.00000000     4.3240e-08
 1043.740 1.00000000    -1.1525e-08
 1044.240 1.00000000     2.8590e-09
 1044.740 1.00000000     8.8969e-11
 1045.240 1.00000000    -3.2148e-09
 1045.740 1.00000000     1.2770e-08
 1046.240 1.00000000    -4.7867e-08
 1046.740 1.00000000     1.7868e-07
 1047.250 1.00000000    -6.6091e-07
 1047.750 1.00000000     2.4876e-06
 1048.250 0.99998897    -2.7393e-04
 1048.750 0.99990398    -6.8202e-04
 1049.250 0.99972498     7.4608e-04
 1049.750 0.99968100     9.3780e-04
 1050.250 0.99981600    -2.0144e-04
 1050.750 0.99993002    -6.3559e-04
 1051.250 0.99992502    -1.1294e-04
 1051.750 0.99988300     1.9901e-04
 1052.250 0.99987501     1.3373e-04
 1052.750 0.99989802     9.9548e-06
 1053.260 0.99992800    -2.0289e-05
 1053.760 0.99995297    -3.4225e-05
 1054.260 0.99997097    -1.0179e-05
 1054.760 0.99998498    -2.0904e-05
 1055.260 0.99999398    -2.6333e-05
 1055.760 0.99999702    -1.6888e-05
 1056.260 0.99999601    -3.3570e-06
 1056.760 0.99999398     5.9974e-06
 1057.260 0.99999201    -1.9202e-05
 1057.760 0.99998802     2.2173e-05
 1058.260 0.99998599    -2.2284e-05
 1058.760 0.99998200     1.9757e-05
 1059.270 0.99997997    -9.1907e-06
 1059.770 0.99997699    -6.8651e-06
