#wavelength (nm)	Transmission (fraction)
900.00	0.01403233
903.85	0.01402930
906.88	0.01312921
910.30	0.01264077
913.87	0.01185311
917.00	0.01093212
920.59	0.01043582
923.88	0.00996151
927.70	0.00990683
930.91	0.00971174
934.56	0.00920077
937.58	0.00862739
941.36	0.00847076
944.86	0.00783201
948.61	0.00777799
951.63	0.00678610
955.37	0.00608726
958.99	0.00510226
962.76	0.00501268
966.08	0.00471608
969.98	0.00404974
973.79	0.00390146
977.66	0.00375725
981.55	0.00291723
985.21	0.00240037
988.58	0.00203509
991.76	0.00121968
995.13	0.00083989
999.06	0.0005161
999.996	0.0005161
1005.19	0.00118075
1008.83	0.00127978
1013.51	0.000883927
1017.16	0.000459783
1020.79	0.00108199
1025.21	0.00120224
1028.59	0.00129419
1033.28	0.000898346
1037.17	0.00100445
1040.82	0.000580306
1045.5	0.000184457
1048.88	0.000276414
1052.78	0.000382518
1056.94	0.00101887
1060.58	0.000594726
1061.63	0.000423327
1062.65	0.00117449
1064.49	0.00139186
1066.82	0.000764492
1068.13	0.00129283
1068.92	0.00284113
1070.48	0.00227552
1071.52	0.00329357
1085.64	0.0536665
1072.85	0.00639725
1073.64	0.00794555
1074.17	0.0100241
1075.2	0.00842628
1075.73	0.00998165
1077.05	0.0130853
1078.65	0.0182746
1080.23	0.0218944
1081.3	0.0260515
1082.37	0.0302086
1082.65	0.0338637
1082.94	0.0375189
1083.48	0.0411669
1084.28	0.0437616
1084.82	0.0468865
1085.62	0.0505275
1085.64	0.0536665
1085.93	0.0578448
1085.95	0.0604607
1086.49	0.0630624
1087.04	0.0672337
1087.58	0.0703585
1087.87	0.07506
1087.89	0.0776759
1088.44	0.0834167
1089.01	0.0896806
1089.3	0.0943821
1089.89	0.104831
1089.92	0.10954
1090.48	0.115281
1090.77	0.120505
1091.36	0.130432
1091.97	0.144543
1092.85	0.158648
1093.45	0.170666
1093.26	0.181137
1094.12	0.193149
1094.46	0.205175
1095.01	0.209869
1095.59	0.218749
1095.89	0.224497
1095.41	0.230266
1095.96	0.234437
1096.53	0.242794
1096.85	0.251157
1097.17	0.259521
1097.74	0.267878
1097.54	0.275732
1098.1	0.281996
1098.15	0.289844
1097.96	0.300838
1099.06	0.309703
1099.39	0.32016
1099.97	0.327993
1099.51	0.337424
1100.86	0.344713
1100.93	0.354654
1101.77	0.363526
1102.09	0.372937
1102.14	0.380261
1103.23	0.388603
1103.55	0.396967
1103.61	0.405861
1104.69	0.411588
1105.01	0.420998
1106.39	0.431949
1106.98	0.442398
1107.55	0.450755
1108.91	0.459614
1110.3	0.472134
1111.41	0.483616
1112.81	0.497706
1113.64	0.505009
1114.45	0.509697
1115	0.514914
1116.61	0.521673
1117.7	0.529492
1118.53	0.537319
1120.41	0.545117
1121.49	0.55189
1123.34	0.556549
1123.63	0.560204
1124.42	0.561752
1124.7	0.564884
1125.23	0.56644
1126.27	0.565888
1127.32	0.568476
1129.16	0.570519
1129.16	0.570519
1129.69	0.572598
1132.04	0.57358
1133.34	0.573545
1133.88	0.576147
1134.94	0.579781
1137.02	0.579724
1137.81	0.581795
1139.91	0.583831
1141.49	0.586405
1144.11	0.589473
1144.65	0.593121
1147.27	0.595666
1148.33	0.598777
1149.13	0.602418
1150.97	0.604985
1151.78	0.609672
1153.36	0.611722
1155.22	0.617951
1157.34	0.624695
1159.22	0.633017
1161.34	0.639761
1162.91	0.640765
1163.72	0.644406
1165.31	0.649595
1167.69	0.65581
1169.02	0.65996
1171.63	0.660936
1172.96	0.666132
1175.59	0.669723
1176.9	0.672304
1180.56	0.674298
1182.13	0.676348
1184.76	0.680462
1186.58	0.680413
1188.42	0.683502
1190.52	0.686585
1192.06	0.683927
1193.63	0.685454
1196.51	0.687469
1198.87	0.69159
1200.69	0.690494
1202.51	0.691491
1204.1	0.695634
1205.43	0.699261
1207	0.700788
1208.32	0.704938
1210.42	0.708021
1211.75	0.712171
1213.08	0.716321
1214.91	0.718364
1215.98	0.722521
1217.83	0.726657
1219.94	0.731309
1222.03	0.732822
1223.61	0.735395
1225.96	0.736901
1227.78	0.736851
1229.09	0.738909
1230.91	0.738859
1233	0.739849
1235.34	0.740309
1236.91	0.740789
1238.73	0.741786
1240.57	0.744352
1242.39	0.744826
1243.46	0.748983
1244.52	0.751571
1247.38	0.752016
1248.71	0.756166
1251.34	0.760281
1253.18	0.763894
1255.82	0.769055
1257.93	0.773706
1259.23	0.774194
1260.81	0.776768
1263.17	0.779843
1265.26	0.781356
1267.07	0.78026
1268.13	0.783371
1270.75	0.785393
1271.78	0.784841
1273.89	0.78897
1274.94	0.790511
1275.97	0.788914
1277.57	0.794103
1280.46	0.79978
1282.28	0.79973
1283.35	0.803364
1284.14	0.80439
1285.7	0.80487
1286.23	0.806949
1288.58	0.808455
1289.9	0.810512
1291.71	0.809939
1293.55	0.811983
1294.34	0.814054
1296.14	0.811389
1298.23	0.812378
1299.53	0.81182
