# lambda(nm)  coeff spline
  800.000 0.00015067     0.0000e+00
  810.000 0.00014945    -9.6274e-07
  820.000 0.00010639     1.3406e-06
  830.000 0.00013706     2.4325e-08
  840.000 0.00016483    -1.6119e-06
  850.000 0.00011429     1.7245e-06
  860.000 0.00013148    -1.2223e-06
  870.000 0.00011479     1.1319e-06
  880.000 0.00015105    -1.2824e-07
  890.000 0.00017560    -1.3215e-06
  900.000 0.00012761     1.0620e-06
  910.000 0.00012770    -4.1619e-08
  920.000 0.00014549     1.6649e-07
  930.000 0.00016218    -6.9033e-07
  940.000 0.00013875     1.8765e-07
  950.000 0.00012257     3.7475e-07
  960.000 0.00015111     9.9657e-07
  970.000 0.00020940    -2.5760e-06
  980.000 0.00014398     1.8850e-06
  990.000 0.00014774    -8.1305e-07
 1000.000 0.00014658     1.0720e-06
 1010.000 0.00018196    -1.2826e-06
 1020.000 0.00017232     1.3573e-06
 1030.000 0.00019478    -2.2207e-06
 1040.000 0.00011751     1.5417e-06
 1050.000 0.00010798     1.1830e-07
 1060.000 0.00014184     5.8850e-07
 1070.000 0.00019031    -1.5957e-06
 1080.000 0.00015547     7.9570e-07
 1090.000 0.00016320     9.6709e-07
 1100.000 0.00020622    -2.5466e-06
 1110.000 0.00017184     4.5755e-06
 1120.000 0.00023838    -9.7002e-06
 1130.000 0.00028616     3.3100e-05
 1140.000 0.00059157    -1.0724e-04
 1150.000 0.00260220     4.9818e-04
 1160.000 0.01856900    -1.0481e-03
 1170.000 0.15613000     1.0990e-02
 1180.000 0.79320999    -1.2940e-02
 1190.000 0.81070999     3.5960e-03
 1200.000 0.83277000    -1.1701e-03
 1210.000 0.84948997     7.6410e-04
 1220.000 0.88094002    -1.0025e-03
 1230.000 0.86269997     2.6443e-04
 1240.000 0.85153000     3.6896e-04
 1250.000 0.87098999     9.7516e-05
 1260.000 0.89837997    -2.8323e-04
 1270.000 0.90810997    -2.4206e-05
 1280.000 0.91222000     4.2855e-05
 1290.000 0.91334000    -3.2662e-04
 1300.000 0.89588997     1.4940e-04
 1310.000 0.86713997    -9.4900e-04
 1320.000 0.85226997     4.4794e-03
 1330.000 0.90537003    -1.2890e-02
 1340.000 0.30368000     7.7947e-03
 1350.000 0.03501200     1.6929e-03
 1360.000 0.00746110    -9.9120e-05
 1370.000 0.00283310     7.8994e-05
 1380.000 0.00160420    -1.2909e-05
 1390.000 0.00093421     6.1780e-06
 1400.000 0.00048734     1.5845e-06
 1410.000 0.00026996     1.2532e-06
 1420.000 0.00018999     1.6472e-06
 1430.000 0.00022314    -1.0547e-06
 1440.000 0.00021293    -2.9911e-08
 1450.000 0.00017397    -5.5064e-07
 1460.000 0.00012910     1.8779e-06
 1470.000 0.00018438    -9.5180e-07
 1480.000 0.00019495    -7.5324e-07
 1490.000 0.00015767     1.0938e-06
 1500.000 0.00016838    -7.4245e-07
 1510.000 0.00015490     4.2464e-07
 1520.000 0.00015394    -2.0490e-07
 1530.000 0.00014865     1.3518e-07
 1540.000 0.00013769    -6.7601e-07
 1550.000 0.00011697     1.9833e-06
 1560.000 0.00018688    -1.8192e-06
 1570.000 0.00016252    -3.6268e-07
 1580.000 0.00010048     1.0091e-06
 1590.000 0.00011628     9.9665e-07
 1600.000 0.00017267    -2.5603e-06
 1610.000 0.00012111     2.7675e-06
 1620.000 0.00016208    -2.9580e-06
 1630.000 0.00009515     2.5904e-06
 1640.000 0.00012960    -1.3210e-06
 1650.000 0.00014170     1.3525e-06
 1660.000 0.00017968    -2.5362e-06
 1670.000 0.00013644     3.9192e-06
 1680.000 0.00022971    -4.9501e-06
 1690.000 0.00012933     4.2622e-06
 1700.000 0.00017602    -3.2745e-06
 1710.000 0.00011258     2.2279e-06
 1720.000 0.00013845    -2.7841e-07
 1730.000 0.00016110    -1.3074e-06
 1740.000 0.00011639     1.4666e-06
 1750.000 0.00014433    -1.9994e-07
 1760.000 0.00016575    -1.0580e-06
 1770.000 0.00014589     1.9553e-06
 1780.000 0.00019049    -2.8955e-06
 1790.000 0.00012457     2.9957e-06
 1800.000 0.00017419    -2.1547e-06
 1810.000 0.00016954     2.3669e-06
 1820.000 0.00022074    -3.9621e-06
 1830.000 0.00011703     4.1867e-06
 1840.000 0.00018374    -2.5596e-06
 1850.000 0.00015073     6.8451e-08
 1860.000 0.00011185     1.9336e-06
 1870.000 0.00016554    -2.2486e-06
 1880.000 0.00013647     2.0952e-06
 1890.000 0.00016288    -2.8033e-06
 1900.000 0.00007401     2.2012e-06
 1910.000 0.00010285     1.0610e-06
 1920.000 0.00017938    -3.5837e-06
 1930.000 0.00009049     3.3486e-06
 1940.000 0.00014350    -1.2968e-06
 1950.000 0.00016094    -2.9555e-07
 1960.000 0.00014572     5.1943e-07
 1970.000 0.00013893    -1.2764e-06
 1980.000 0.00008992     2.0528e-06
 1990.000 0.00012411    -1.9429e-06
 2000.000 0.00010215     2.3496e-06
 2010.000 0.00017654    -1.6747e-06
 2020.000 0.00016465    -8.2751e-07
 2030.000 0.00010278     1.9860e-06
 2040.000 0.00015665    -1.7199e-07
 2050.000 0.00018879    -2.6018e-06
 2060.000 0.00009260     2.8794e-06
 2070.000 0.00012260    -1.3445e-06
 2080.000 0.00012709     9.6782e-07
 2090.000 0.00015557    -1.0874e-06
 2100.000 0.00011996    -4.6354e-07
 2110.000 0.00006500     1.7806e-06
 2120.000 0.00011823    -1.6739e-07
 2130.000 0.00016373    -1.5748e-06
 2140.000 0.00010638     2.9571e-07
 2150.000 0.00007712     2.0774e-06
 2160.000 0.00015464    -2.1984e-06
 2170.000 0.00013126     6.6229e-07
 2180.000 0.00012693     6.9226e-07
 2190.000 0.00016401    -9.4672e-07
 2200.000 0.00014673    -1.6698e-07
 2210.000 0.00012163     1.1454e-06
 2220.000 0.00015944    -6.4018e-07
 2230.000 0.00016193    -7.0393e-07
 2240.000 0.00012651     1.1813e-06
 2250.000 0.00014735    -6.4572e-07
 2260.000 0.00014520     2.2158e-08
 2270.000 0.00012571    -4.8331e-07
 2280.000 0.00010301     1.7185e-06
 2290.000 0.00016626    -1.2337e-06
 2300.000 0.00016577    -6.0825e-07
 2310.000 0.00012561     1.2865e-06
 2320.000 0.00014739    -8.2125e-07
 2330.000 0.00015002     8.4954e-07
 2340.000 0.00016250    -1.9859e-06
 2350.000 0.00008420     1.6473e-06
 2360.000 0.00009806     9.2628e-07
 2370.000 0.00017484    -1.5772e-06
 2380.000 0.00016710     3.1150e-07
 2390.000 0.00014556    -4.9675e-07
 2400.000 0.00012270     1.5963e-06
 2410.000 0.00016369    -2.0574e-06
 2420.000 0.00011831     1.4512e-06
 2430.000 0.00013877     2.0297e-07
 2440.000 0.00016844    -1.7105e-06
 2450.000 0.00012236     2.0940e-06
 2460.000 0.00016774    -1.1777e-06
 2470.000 0.00016326    -3.7462e-07
 2480.000 0.00015152     2.2406e-06
 2490.000 0.00021778    -3.9078e-06
 2500.000 0.00011131     3.0267e-06
 2510.000 0.00012890    -7.5556e-07
 2520.000 0.00014465    -1.1490e-07
 2530.000 0.00013558    -2.7403e-07
 2540.000 0.00010895     1.5741e-07
 2550.000 0.00010947     1.2734e-06
 2560.000 0.00016688    -1.8376e-06
 2570.000 0.00013534     7.3997e-07
 2580.000 0.00013202     5.7090e-07
 2590.000 0.00016532    -8.2636e-07
 2600.000 0.00016056     4.5096e-07
 2610.000 0.00016171    -6.2287e-07
 2620.000 0.00014751     1.1195e-06
 2630.000 0.00017065    -1.6148e-06
 2640.000 0.00011482     6.0138e-07
 2650.000 0.00009038     1.0926e-06
 2660.000 0.00013869    -6.0698e-07
 2670.000 0.00015287    -7.1255e-07
 2680.000 0.00011071     7.6757e-08
 2690.000 0.00008707     1.5167e-06
 2700.000 0.00014052    -1.5182e-06
 2710.000 0.00013438     9.8080e-07
 2720.000 0.00015596    -7.4177e-07
 2730.000 0.00016203     1.0557e-06
 2740.000 0.00018989    -2.1736e-06
 2750.000 0.00012977     2.3599e-06
 2760.000 0.00016089    -1.7915e-06
 2770.000 0.00013502     1.3868e-06
 2780.000 0.00014177    -1.7983e-06
 2790.000 0.00009064     2.3338e-06
 2800.000 0.00014513    -1.1997e-06
 2810.000 0.00014894    -5.7579e-07
 2820.000 0.00012575     1.8829e-06
 2830.000 0.00017758    -2.4544e-06
 2840.000 0.00015339     3.3737e-06
 2850.000 0.00023018    -4.9814e-06
 2860.000 0.00012963     5.9115e-06
 2870.000 0.00025359    -5.1939e-06
 2880.000 0.00021559     5.1467e-06
 2890.000 0.00037034    -3.8279e-06
 2900.000 0.00034691    -5.2610e-07
 2910.000 0.00029176     4.0290e-06
 2920.000 0.00042846    -4.0791e-06
 2930.000 0.00037993     1.1735e-06
 2940.000 0.00036664     1.4995e-06
 2950.000 0.00044672    -1.5694e-06
 2960.000 0.00047118     1.4410e-06
 2970.000 0.00053942    -1.5679e-06
 2980.000 0.00053310     3.5682e-07
 2990.000 0.00055068     1.5746e-06
 3000.000 0.00062026    -3.5352e-06
 3010.000 0.00056270     4.9377e-06
 3020.000 0.00076514    -6.1546e-07
 3030.000 0.00088176    -7.6250e-06
 3040.000 0.00063564     9.3512e-06
 3050.000 0.00080108    -5.0861e-06
 3060.000 0.00089088     6.4549e-06
 3070.000 0.00109920    -1.3622e-05
 3080.000 0.00073638     1.3766e-05
 3090.000 0.00105650    -4.6589e-07
 3100.000 0.00142850    -8.7898e-06
 3110.000 0.00134000     7.9951e-06
 3120.000 0.00150660    -7.8848e-06
 3130.000 0.00141470     8.0339e-06
 3140.000 0.00148460    -1.4543e-05
 3150.000 0.00128740     3.4112e-05
 3160.000 0.00273310    -2.3329e-05
 3170.000 0.00299310    -1.1936e-05
 3180.000 0.00242180     2.1195e-05
 3190.000 0.00290820    -9.3815e-06
 3200.000 0.00290900    -1.2805e-05
 3210.000 0.00244050     3.2443e-05
 3220.000 0.00318780    -4.4018e-05
 3230.000 0.00274060     7.1959e-05
 3240.000 0.00508590    -7.6268e-05
 3250.000 0.00440520     5.1552e-05
 3260.000 0.00546550    -2.5479e-05
 3270.000 0.00637010     4.1021e-05
 3280.000 0.00891780    -4.0021e-05
 3290.000 0.00977540     1.7655e-05
 3300.000 0.01114300     0.0000e+00
