# lambda(nm)  coeff spline
  800.000 0.00018515     0.0000e+00
  801.000 0.00011111     2.3449e-04
  802.000 0.00016716    -1.5742e-04
  803.000 0.00016746     6.0688e-05
  804.000 0.00017019    -7.0752e-05
  805.000 0.00014408     4.9279e-05
  806.000 0.00013747    -9.3627e-06
  807.000 0.00013599     1.8952e-05
  808.000 0.00014512    -2.7855e-06
  809.000 0.00014935    -3.7210e-05
  810.000 0.00013965     6.8046e-05
  811.000 0.00014985    -1.1557e-04
  812.000 0.00011490     1.2335e-04
  813.000 0.00012591    -1.0208e-04
  814.000 0.00011955     1.8074e-04
  815.000 0.00015829    -3.5028e-04
  816.000 0.00007234     4.7222e-04
  817.000 0.00015754    -5.1171e-04
  818.000 0.00006751     5.2325e-04
  819.000 0.00017220    -4.1298e-04
  820.000 0.00012156     1.9668e-04
  821.000 0.00013117    -1.2259e-05
  822.000 0.00014590    -1.1693e-04
  823.000 0.00011010     1.7679e-04
  824.000 0.00014562    -1.6231e-04
  825.000 0.00012010     1.0621e-04
  826.000 0.00013144    -4.1377e-05
  827.000 0.00013401     6.6752e-06
  828.000 0.00013059    -2.1264e-05
  829.000 0.00012611     7.2022e-05
  830.000 0.00015801    -4.8542e-05
  831.000 0.00017024     4.1266e-06
  832.000 0.00015286    -1.4562e-04
  833.000 0.00007613     2.2227e-04
  834.000 0.00010821    -9.0599e-05
  835.000 0.00012193     2.9966e-05
  836.000 0.00014254     1.2073e-05
  837.000 0.00016888    -4.3880e-05
  838.000 0.00016075    -4.3372e-05
  839.000 0.00013530     1.1345e-04
  840.000 0.00015949    -1.1258e-04
  841.000 0.00012674    -4.7652e-06
  842.000 0.00010102     1.7382e-04
  843.000 0.00016841    -1.3186e-04
  844.000 0.00015186    -1.5002e-04
  845.000 0.00008448     4.2696e-04
  846.000 0.00019073    -5.1603e-04
  847.000 0.00007232     2.8922e-04
  848.000 0.00006597     3.1527e-05
  849.000 0.00012696    -1.1284e-05
  850.000 0.00017264    -7.8249e-05
  851.000 0.00015910    -3.1039e-05
  852.000 0.00012443     7.5627e-05
  853.000 0.00012450    -6.3029e-05
  854.000 0.00010395     5.2767e-05
  855.000 0.00010596    -1.2680e-05
  856.000 0.00012791     1.1759e-04
  857.000 0.00018797    -2.2903e-04
  858.000 0.00013866     1.4231e-04
  859.000 0.00014521    -5.0449e-06
  860.000 0.00016047    -6.9869e-05
  861.000 0.00011478    -8.1179e-05
  862.000 0.00007905     4.5434e-04
  863.000 0.00021424    -7.1068e-04
  864.000 0.00006578     6.8648e-04
  865.000 0.00016669    -5.3900e-04
  866.000 0.00009603     4.4011e-04
  867.000 0.00017087    -3.4843e-04
  868.000 0.00012269     2.1547e-04
  869.000 0.00014133    -1.1255e-04
  870.000 0.00013880     1.0771e-04
  871.000 0.00017075    -1.1141e-04
  872.000 0.00015702     6.3850e-05
  873.000 0.00017182     2.7189e-05
  874.000 0.00017940    -2.1592e-04
  875.000 0.00008187     2.0585e-04
  876.000 0.00009143     3.5060e-05
  877.000 0.00015404    -2.7792e-05
  878.000 0.00017920    -1.4859e-04
  879.000 0.00010816     4.4960e-05
  880.000 0.00007023     1.6741e-04
  881.000 0.00013195    -1.1670e-04
  882.000 0.00015607     7.3798e-05
  883.000 0.00017543    -2.0705e-04
  884.000 0.00011323     2.6504e-04
  885.000 0.00015841    -2.0885e-04
  886.000 0.00012707     1.1123e-04
  887.000 0.00012924    -3.5004e-05
  888.000 0.00013054     2.3568e-05
  889.000 0.00013726    -2.6746e-05
  890.000 0.00013501     2.9598e-05
  891.000 0.00013727    -6.4587e-05
  892.000 0.00012711     1.5423e-04
  893.000 0.00018063    -1.7025e-04
  894.000 0.00014442    -1.1611e-05
  895.000 0.00011909     2.8197e-04
  896.000 0.00020909    -4.2430e-04
  897.000 0.00012704     3.8292e-04
  898.000 0.00016227    -4.0371e-04
  899.000 0.00007331     4.8679e-04
  900.000 0.00017371    -4.0728e-04
  901.000 0.00011494     1.8730e-04
  902.000 0.00011870     3.3275e-05
  903.000 0.00015432    -1.2923e-04
  904.000 0.00012254     7.9261e-05
  905.000 0.00013196     5.9391e-05
  906.000 0.00016506    -1.7474e-04
  907.000 0.00013765     2.7652e-04
  908.000 0.00019757    -4.0737e-04
  909.000 0.00010787     4.5525e-04
  910.000 0.00019423    -3.5728e-04
  911.000 0.00015192     2.0184e-04
  912.000 0.00017461    -6.0080e-05
  913.000 0.00018064    -6.1480e-05
  914.000 0.00012948    -3.7140e-05
  915.000 0.00007719     2.0326e-04
  916.000 0.00013882    -9.2375e-05
  917.000 0.00017635     2.1641e-05
  918.000 0.00019447    -1.1065e-04
  919.000 0.00014529     1.7150e-05
  920.000 0.00012067     1.8941e-04
  921.000 0.00017531    -2.9922e-04
  922.000 0.00011670     3.2798e-04
  923.000 0.00017080    -3.3642e-04
  924.000 0.00010278     2.8499e-04
  925.000 0.00014509    -1.4156e-04
  926.000 0.00013754    -1.7920e-05
