# lambda(nm)  coeff spline
  815.508 0.93375000     0.0000e+00
  828.984 0.93789001    -7.7569e-05
  837.968 0.93582001     2.8789e-05
  864.920 0.93582001     3.7774e-07
  882.888 0.93789001    -6.6027e-06
  896.364 0.93789001    -2.0985e-05
  912.086 0.93582001     3.3356e-05
  927.807 0.93789001    -1.1941e-05
  963.743 0.93789001    -2.2472e-06
  992.941 0.93582001     1.0154e-05
 1022.139 0.93789001    -9.2321e-06
 1062.567 0.93582001     6.3450e-06
 1105.241 0.93789001    -1.9468e-06
 1127.701 0.93789001    -1.3723e-05
 1141.177 0.93582001     8.0408e-06
 1168.128 0.93582001     1.6936e-05
 1177.112 0.93789001    -5.7229e-06
 1240.000 0.93789001    -1.1322e-05
 1246.738 0.93582001     1.3825e-05
 1271.444 0.93582001     4.2506e-05
 1275.936 0.93789001    -1.3103e-05
 1352.300 0.93789001    -1.0960e-05
 1356.792 0.93582001     1.7724e-06
 1401.711 0.93582001     5.8751e-05
 1403.957 0.93789001    -4.0955e-05
 1482.567 0.93789001     1.2228e-05
 1572.406 0.93789001    -1.0021e-05
 1606.096 0.93789001     4.0877e-05
 1610.588 0.93996002    -4.2296e-06
 1646.524 0.93996002    -7.2534e-05
 1648.770 0.93789001     7.1856e-05
 1691.444 0.93789001    -1.7880e-05
 1743.102 0.93789001     5.9409e-06
 1772.300 0.93789001    -1.2698e-06
 1817.219 0.93996002     6.4842e-06
 1893.583 0.94203003    -2.1341e-05
 1898.075 0.93996002     6.2980e-06
 2037.326 0.93996002     7.5420e-06
 2041.818 0.94203003    -6.2376e-05
 2080.000 0.94203003     6.6125e-05
 2084.492 0.94410004    -1.1064e-04
 2102.460 0.94410004     1.0619e-04
 2106.952 0.94616997    -3.8230e-06
 2176.578 0.94616997    -3.8422e-05
 2178.824 0.94410004     1.1534e-04
 2201.283 0.94410004    -3.6745e-06
 2241.712 0.94203003    -6.0239e-05
 2243.958 0.93996002     2.9817e-05
 2331.552 0.93996002     3.5166e-06
 2336.043 0.94203003    -1.0997e-04
 2362.995 0.94203003     1.5339e-04
 2365.241 0.94410004    -2.0647e-04
 2378.717 0.94410004     4.5878e-05
 2403.423 0.94616997    -8.8362e-06
 2477.541 0.94616997     1.4882e-06
 2493.263 0.94410004    -2.5596e-05
 2500.000 0.94203003     1.0799e-05
 2600.000 0.94203003    -2.8936e-06
 2700.000 0.94203003     7.7506e-07
 2800.000 0.94203003    -2.0668e-07
 2900.000 0.94203003     5.1671e-08
 3000.000 0.94203003     0.0000e+00
