# lambda(nm)  coeff spline
  502.456 0.99519997     0.0000e+00
  508.135 0.99200996     3.4253e-05
  513.903 0.98952003    -6.8491e-07
  516.811 0.98848000     8.8898e-05
  522.818 0.98796997     8.8858e-06
  528.951 0.98848000     4.2173e-05
  535.210 0.99003998    -1.6495e-05
  544.566 0.99210999     8.9004e-06
  547.677 0.99274002    -5.7856e-05
  553.772 0.99293999     3.1661e-06
  562.838 0.99263000    -1.6035e-05
  571.805 0.99149002    -8.9483e-07
  577.774 0.99066002     1.6584e-05
  586.828 0.99024002     6.9627e-06
  602.078 0.99086998     2.4647e-06
  614.343 0.99190002     1.1599e-06
  620.476 0.99241997    -1.1110e-05
  629.606 0.99263000    -4.2300e-06
  641.682 0.99210999    -9.5703e-06
  650.661 0.99107002     1.9524e-06
  662.624 0.98961998    -2.3554e-06
  674.575 0.98806000     2.7919e-06
  689.573 0.98661003     5.3877e-06
  701.650 0.98609001    -9.8600e-07
  704.672 0.98598999     8.0976e-06
  719.884 0.98629997     1.8756e-06
  741.292 0.98764000    -3.3848e-07
  781.010 0.98982002    -1.1334e-06
  820.602 0.99096001     9.2574e-07
  838.887 0.99157997    -1.7288e-06
  872.296 0.99179001    -1.1684e-07
  948.092 0.99115997    -5.6982e-08
 1039.025 0.99022003     1.7277e-07
 1154.351 0.99022003    -3.5286e-08
 1254.502 0.99021004    -5.3089e-08
 1366.742 0.98978996     3.7669e-08
 1466.868 0.98958000    -1.6631e-09
 1536.671 0.98957001     1.2200e-07
 1606.523 0.98998001     3.0288e-08
 1682.483 0.99070999     6.6983e-08
 1791.928 0.99225998     1.5929e-09
 1904.407 0.99380997    -9.1837e-08
 1983.377 0.99431999    -1.1328e-07
 2022.831 0.99431999    -1.1834e-07
 2095.605 0.99379997    -1.6275e-07
 2180.380 0.99212997    -1.8199e-07
 2243.861 0.99004997    -1.6765e-07
 2331.394 0.98611000    -1.2891e-07
 2412.744 0.98123001    -3.8896e-07
 2472.888 0.97666000     4.0859e-07
 2493.956 0.97521004     0.0000e+00
