# lambda(nm)  coeff spline
  332.985 0.84867699     0.0000e+00
  335.522 0.88253998    -2.4608e-03
  343.134 0.92063499    -1.4279e-05
  353.284 0.93756599    -7.6867e-05
  365.970 0.95132301     1.2117e-05
  368.507 0.95343903    -3.5318e-04
  378.657 0.94285698    -2.2944e-04
  383.731 0.93015900     3.5689e-04
  393.881 0.91746002    -2.1615e-04
  401.493 0.90582001     3.1370e-04
  411.642 0.90793701     9.1506e-05
  416.716 0.91428596     5.6436e-05
  424.328 0.92592598    -3.0062e-05
  434.478 0.94074097     2.1769e-05
  447.164 0.95873001    -7.3982e-05
  462.388 0.97037003    -4.4109e-06
  480.149 0.97883598    -1.7468e-05
  502.985 0.98412697     1.1763e-06
  530.896 0.98835999    -7.1901e-06
  556.269 0.98941803     2.9021e-06
  599.403 0.99153397    -3.9658e-06
  642.537 0.99047600     2.7256e-06
  698.358 0.99153397    -1.9254e-06
  751.642 0.99047600     6.5972e-07
  810.000 0.98941803    -5.8864e-07
  863.284 0.98730202    -6.8621e-07
  919.104 0.98412697     1.3990e-06
  980.000 0.98201103    -2.5530e-06
 1038.360 0.97566101     1.3598e-06
 1089.100 0.97142899     9.2611e-08
 1150.000 0.96719597    -1.0316e-07
 1198.210 0.96402100     8.0427e-07
 1259.100 0.96190498     2.6469e-07
 1330.150 0.96084702     4.8919e-09
 1391.040 0.96084702     1.1372e-06
 1469.700 0.96402100    -9.6103e-07
 1525.520 0.96507896     7.2805e-07
 1599.100 0.96825401     1.4151e-07
 1667.610 0.97142899    -1.0894e-06
 1751.340 0.97248703     1.4302e-06
 1824.930 0.97671997    -1.2161e-06
 1903.580 0.97777802     7.7796e-09
 1972.090 0.97883598     1.5369e-06
 1997.460 0.97989403    -5.1846e-06
 2000.000 0.97989403     7.3866e-08
 2100.000 0.97989403    -1.9792e-08
 2200.000 0.97989403     5.3033e-09
 2300.000 0.97989403    -1.4210e-09
 2400.000 0.97989403     3.8076e-10
 2500.000 0.97989403    -1.0202e-10
 2600.000 0.97989403     2.7337e-11
 2700.000 0.97989403    -7.3223e-12
 2800.000 0.97989403     1.9526e-12
 2900.000 0.97989403    -4.8816e-13
 3000.000 0.97989403     0.0000e+00
