# lambda(nm)  coeff spline
  200.000 0.00000000     0.0000e+00
  250.000 0.00000000    -8.0860e-08
  300.000 0.00000000     3.2344e-07
  350.000 0.00000000    -1.2129e-06
  400.000 0.00000000     4.5281e-06
  450.000 0.00000000    -1.6900e-05
  500.000 0.00000000     6.3071e-05
  550.000 0.00000000    -2.3538e-04
  600.000 0.00000000     8.7846e-04
  650.000 1.00000000    -8.7846e-04
  700.000 1.00000000     2.3538e-04
  750.000 1.00000000    -6.3071e-05
  800.000 1.00000000     1.6900e-05
  850.000 1.00000000    -4.5283e-06
  900.000 1.00000000     1.2133e-06
  950.000 1.00000000    -3.2512e-07
 1000.000 1.00000000     8.7114e-08
 1050.000 1.00000000    -2.3342e-08
 1100.000 1.00000000     6.2545e-09
 1150.000 1.00000000    -1.6759e-09
 1200.000 1.00000000     4.4905e-10
 1250.000 1.00000000    -1.2032e-10
 1300.000 1.00000000     3.2241e-11
 1350.000 1.00000000    -8.6389e-12
 1400.000 1.00000000     2.3148e-12
 1450.000 1.00000000    -6.2024e-13
 1500.000 1.00000000     1.6619e-13
 1550.000 1.00000000    -4.4531e-14
 1600.000 1.00000000     1.1932e-14
 1650.000 1.00000000    -3.1972e-15
 1700.000 1.00000000     8.5669e-16
 1750.000 1.00000000    -2.2955e-16
 1800.000 1.00000000     6.1508e-17
 1850.000 1.00000000    -1.6481e-17
 1900.000 1.00000000     4.4160e-18
 1950.000 1.00000000    -1.1833e-18
 2000.000 1.00000000     3.1706e-19
 2050.000 1.00000000    -8.4955e-20
 2100.000 1.00000000     2.2764e-20
 2150.000 1.00000000    -6.0995e-21
 2200.000 1.00000000     1.6344e-21
 2250.000 1.00000000    -4.3793e-22
 2300.000 1.00000000     1.1734e-22
 2350.000 1.00000000    -3.1442e-23
 2400.000 1.00000000     8.4248e-24
 2450.000 1.00000000    -2.2574e-24
 2500.000 1.00000000     6.0487e-25
 2550.000 1.00000000    -1.6207e-25
 2600.000 1.00000000     4.3428e-26
 2650.000 1.00000000    -1.1636e-26
 2700.000 1.00000000     3.1180e-27
 2750.000 1.00000000    -8.3546e-28
 2800.000 1.00000000     2.2385e-28
 2850.000 1.00000000    -5.9961e-29
 2900.000 1.00000000     1.5990e-29
 2950.000 1.00000000    -3.9974e-30
 3000.000 1.00000000     0.0000e+00
