# lambda(nm)  coeff spline
  500.000 0.62000000     0.0000e+00
  600.000 0.62000000     0.0000e+00
  700.000 0.62000000     0.0000e+00
  800.000 0.62000000     0.0000e+00
  900.000 0.62000000     0.0000e+00
 1000.000 0.62000000     0.0000e+00
 1100.000 0.62000000     0.0000e+00
 1200.000 0.62000000     0.0000e+00
 1300.000 0.62000000     0.0000e+00
 1400.000 0.62000000     0.0000e+00
 1500.000 0.62000000     0.0000e+00
 1600.000 0.62000000     0.0000e+00
 1700.000 0.62000000     0.0000e+00
 1800.000 0.62000000     0.0000e+00
 1900.000 0.62000000     0.0000e+00
 2000.000 0.62000000     0.0000e+00
 2100.000 0.62000000     0.0000e+00
 2200.000 0.62000000     0.0000e+00
 2300.000 0.62000000     0.0000e+00
