# lambda(nm)  coeff spline
  795.144 0.04706000     0.0000e+00
  823.824 0.05588000    -2.9065e-05
  846.130 0.05000000    -2.0759e-05
  865.250 0.05000000     2.0658e-04
  884.370 0.04706000    -8.5382e-04
  906.677 0.07941000     3.4257e-03
  909.863 0.17941000     7.5357e-03
  925.797 0.94412003    -1.2517e-02
  938.543 0.55882000     1.0089e-02
  954.477 0.95293999    -5.6101e-03
  967.223 0.96471001     1.4250e-03
  979.970 0.95293999    -9.5963e-04
  992.716 0.90882004     1.2187e-03
 1005.463 0.95587997    -5.4814e-04
 1018.209 0.97352997    -1.1221e-04
 1030.956 0.96176003    -8.9505e-05
 1040.516 0.95000000     3.7477e-04
 1053.262 0.96471001    -1.2224e-04
 1059.636 0.97058998    -2.3407e-04
 1072.382 0.96471001     1.1195e-04
 1081.942 0.96176003    -1.1450e-04
 1101.062 0.95000000     1.9133e-04
 1110.622 0.95882004     4.6050e-05
 1123.369 0.97352997    -1.9575e-04
 1132.929 0.96764999    -2.5819e-04
 1142.489 0.94117996    -1.2321e-04
 1152.049 0.91764999     9.4402e-04
 1161.608 0.94412003    -3.7005e-04
 1174.355 0.96176003    -6.4860e-05
 1190.288 0.96471001     7.8145e-05
 1212.595 0.97647003    -1.2960e-04
 1228.528 0.95587997    -1.7250e-04
 1238.088 0.93528999     5.9529e-04
 1250.835 0.95587997    -1.8003e-04
 1269.954 0.97352997    -1.3985e-05
 1279.514 0.97352997    -1.3545e-04
 1292.261 0.95882004    -5.8621e-05
 1308.194 0.93823997     2.6756e-04
 1327.314 0.96176003    -1.4085e-04
 1346.434 0.97058998     5.4730e-05
 1365.554 0.97941002    -7.8233e-05
 1378.300 0.97941002     9.1930e-05
 1400.607 0.99117996    -1.0229e-04
 1422.914 0.98528999     1.0431e-04
 1442.033 0.99706001    -5.6605e-05
 1473.900 1.00000000     2.0012e-05
 1499.393 0.99412003    -9.5298e-05
 1508.953 0.97941002    -1.7546e-04
 1515.326 0.96764999     7.3166e-04
 1524.886 0.98235001    -1.9866e-04
 1534.446 0.99412003    -1.2939e-04
 1547.193 0.99412003     2.2346e-05
 1569.499 0.98823997    -6.7197e-05
 1585.432 0.97647003     1.1235e-04
 1607.739 0.98528999    -3.2140e-05
 1633.232 0.99117996    -1.6458e-05
 1655.539 0.97941002    -9.6800e-05
 1665.099 0.95882004    -3.3685e-04
 1674.659 0.92941002     8.6520e-04
 1687.405 0.95882004    -2.4128e-04
 1696.965 0.97941002    -1.2401e-04
 1722.458 0.99117996     3.3264e-05
 1747.951 0.98528999    -1.7208e-04
 1760.698 0.96471001     3.1476e-04
 1770.258 0.96471001    -2.2618e-04
 1779.818 0.96176003     3.9628e-04
 1789.378 0.97647003    -1.9956e-04
 1802.125 0.98235001    -1.0589e-04
 1811.684 0.97058998    -3.0143e-04
 1824.431 0.94412003     7.3601e-04
 1833.991 0.96764999    -1.8485e-04
 1843.551 0.98823997    -1.8958e-04
 1856.297 0.99412003     5.4745e-06
 1900.910 0.99706001    -1.3096e-05
 1932.777 0.99117996     8.0482e-06
 1958.270 0.98235001    -5.7940e-05
 1971.017 0.96764999    -4.8241e-05
 1983.763 0.95293999     2.5050e-04
 2002.883 0.97352997    -1.0273e-04
 2018.816 0.98235001    -4.5654e-05
 2037.936 0.97352997    -6.5469e-05
 2047.496 0.96176003     9.6110e-07
 2053.869 0.95587997     3.8383e-04
 2066.616 0.97352997    -6.5874e-05
 2076.176 0.98823997    -1.0767e-04
 2101.669 0.99412003     1.2947e-05
 2127.163 0.99117996    -2.5545e-05
 2146.282 0.98235001    -6.7933e-06
 2162.216 0.97647003     9.5492e-05
 2178.149 0.98528999    -2.7758e-05
 2203.642 0.99412003    -1.8234e-05
 2238.695 0.99117996     9.5325e-06
 2273.748 0.97941002    -6.3014e-05
 2292.868 0.95587997     5.8783e-05
 2321.548 0.94412003     1.7739e-05
 2353.414 0.95000000    -8.3669e-06
 2394.841 0.95587997     9.7926e-06
 2436.267 0.96764999    -1.0210e-05
 2474.507 0.97058998    -5.8527e-07
 2496.813 0.97058998     0.0000e+00
