# lambda(nm)  coeff spline
    0.795 **********     0.0000e+00
    0.824 **********     2.9148e+01
    0.846 **********     2.0307e+01
    0.865 **********    -2.0404e+02
    0.884 **********     8.4624e+02
    0.907 **********    -3.3991e+03
    0.910 **********    -7.5972e+03
    0.926 **********     1.2580e+04
    0.938 **********    -1.0092e+04
    0.955 **********     5.6051e+03
    0.967 **********    -1.4195e+03
    0.980 **********     9.5996e+02
    0.993 **********    -1.2174e+03
    1.005 **********     5.4647e+02
    1.018 **********     1.1294e+02
    1.031 **********     9.0286e+01
    1.041 **********    -3.7497e+02
    1.053 **********     1.2055e+02
    1.060 **********     2.3648e+02
    1.072 **********    -1.1224e+02
    1.082 **********     1.1430e+02
    1.101 **********    -1.9182e+02
    1.111 **********    -4.5249e+01
    1.123 **********     1.9654e+02
    1.133 **********     2.5501e+02
    1.142 **********     1.2726e+02
    1.152 **********    -9.4656e+02
    1.162 **********     3.6927e+02
    1.174 **********     6.3973e+01
    1.190 **********    -7.8184e+01
    1.213 **********     1.3028e+02
    1.229 **********     1.7134e+02
    1.238 **********    -5.9489e+02
    1.251 **********     1.8038e+02
    1.270 **********     1.3469e+01
    1.280 **********     1.3465e+02
    1.292 **********     5.9528e+01
    1.308 **********    -2.6853e+02
    1.327 **********     1.4116e+02
    1.346 **********    -5.4498e+01
    1.366 **********     7.7913e+01
    1.378 **********    -9.1987e+01
    1.401 **********     1.0237e+02
    1.423 **********    -1.0440e+02
    1.442 **********     5.6520e+01
    1.474 **********    -1.9644e+01
    1.499 **********     9.3671e+01
    1.509 **********     1.8079e+02
    1.515 **********    -7.3687e+02
    1.525 **********     1.9853e+02
    1.534 **********     1.3092e+02
    1.547 **********    -2.2783e+01
    1.569 **********     6.7516e+01
    1.585 **********    -1.1263e+02
    1.608 **********     3.2135e+01
    1.633 **********     1.6733e+01
    1.656 **********     9.5674e+01
    1.665 **********     3.3593e+02
    1.675 **********    -8.6515e+02
    1.687 **********     2.4295e+02
    1.697 **********     1.2267e+02
    1.722 **********    -3.3102e+01
    1.748 **********     1.7269e+02
    1.761 **********    -3.1595e+02
    1.770 **********     2.2662e+02
    1.780 **********    -3.9584e+02
    1.789 **********     1.9908e+02
    1.802 **********     1.0527e+02
    1.812 **********     3.0254e+02
    1.824 **********    -7.3608e+02
    1.834 **********     1.8490e+02
    1.844 **********     1.8791e+02
    1.856 **********    -5.0945e+00
    1.901 **********     1.3001e+01
    1.933 **********    -8.1664e+00
    1.958 **********     5.8606e+01
    1.971 **********     4.7074e+01
    1.984 **********    -2.4957e+02
    2.003 **********     1.0244e+02
    2.019 **********     4.6265e+01
    2.038 **********     6.4480e+01
    2.048 **********     6.0334e-02
    2.054 **********    -3.8507e+02
    2.067 **********     6.7528e+01
    2.076 **********     1.0663e+02
    2.102 **********    -1.2682e+01
    2.127 **********     2.5488e+01
    2.146 **********     6.9080e+00
    2.162 **********    -9.5933e+01
    2.178 **********     2.7947e+01
    2.204 **********     1.8116e+01
    2.239 **********    -9.3472e+00
    2.274 **********     6.2564e+01
    2.293 **********    -5.8300e+01
    2.322 **********    -1.7964e+01
    2.353 **********     8.3987e+00
    2.395 **********    -9.7683e+00
    2.436 **********     1.0177e+01
    2.475 **********     6.0333e-01
    2.497 **********     0.0000e+00
