# lambda(nm)  coeff spline
  400.189 0.93017502     0.0000e+00
  403.333 0.93333298     1.6003e-04
  405.853 0.93649101    -1.2709e-04
  408.998 0.93964897    -1.4555e-04
  414.020 0.94315804     1.8816e-04
  417.794 0.94701797    -1.6823e-04
  421.561 0.94982498     4.2859e-05
  425.329 0.95263199    -3.5328e-06
  429.096 0.95543900    -2.8421e-05
  432.862 0.95789497    -3.0954e-05
  437.252 0.96035103     1.2724e-05
  441.643 0.96280701    -2.0135e-05
  447.912 0.96596497     6.3695e-06
  452.300 0.96806999    -3.5013e-05
  456.059 0.96947403    -2.5195e-05
  461.693 0.97087700    -2.5209e-05
  467.950 0.97193001     4.1094e-05
  473.583 0.97333298    -5.9446e-05
  476.086 0.97368401     3.3130e-05
  481.717 0.97473701    -1.9465e-05
  489.224 0.97578903     5.8247e-06
  493.603 0.97649101     2.9384e-05
  497.982 0.97719299    -1.2336e-04
  501.107 0.97719299     2.4348e-04
  503.612 0.97789497    -2.6934e-04
  507.360 0.97754402     1.3747e-04
  511.112 0.97789497     1.8768e-05
  516.116 0.97859596    -1.1295e-04
  519.864 0.97824600     1.2870e-04
  522.991 0.97859596    -3.6645e-05
  527.993 0.97894699    -1.1415e-05
  534.243 0.97894699     3.0586e-06
  540.493 0.97894699    -8.1959e-07
  546.743 0.97894699     2.1971e-07
  552.993 0.97894699    -5.9240e-08
  559.243 0.97894699     1.7255e-08
  565.493 0.97894699    -9.7800e-09
  571.118 0.97894699     2.2121e-08
  577.368 0.97894699    -7.5258e-08
  583.618 0.97894699     2.7891e-07
  589.868 0.97894699    -1.0404e-06
  596.118 0.97894699     3.8826e-06
  602.368 0.97894699    -1.4490e-05
  608.616 0.97859596     1.3318e-07
  614.864 0.97824600     1.4122e-05
  620.489 0.97824600    -1.8942e-08
  626.739 0.97824600    -1.2638e-05
  632.987 0.97789497    -3.3745e-06
  638.610 0.97754402     2.1642e-05
  644.860 0.97754402    -1.9271e-05
  651.107 0.97719299     1.4815e-06
  657.355 0.97684196     1.3352e-05
  660.480 0.97684196     2.4815e-05
  666.107 0.97719299    -1.8090e-05
  672.357 0.97719299    -1.3478e-05
  678.605 0.97684196     1.8063e-05
  684.855 0.97684196    -4.8316e-06
  691.105 0.97684196     1.2635e-06
  697.355 0.97684196    -2.2260e-07
 1390.000 0.96000000     2.2719e-07
 2000.000 0.97980003    -1.5911e-07
 2500.000 0.97980003     3.9778e-08
 3000.000 0.97980003     0.0000e+00
