Lick_bg_nearIR	Lick_bg_nearIR
Infrared	Infrared
nm	nm
	
900.04	3.494177
900.14	3.683452
900.2401	2.950848
900.34	14.329397
900.4401	12.231174
900.5399	3.163728
900.64	2.642481
900.7401	3.23105
900.84	3.227163
900.9401	3.002316
901.0399	2.999428
901.14	3.158326
901.2401	3.235427
901.34	3.215974
901.4401	2.687768
901.5399	3.220193
901.64	3.221921
901.7401	3.232505
901.84	3.07423
901.9401	2.234421
902.0399	3.1618
902.14	3.230871
902.2401	3.228586
902.34	3.23022
902.4399	3.125097
902.54	2.716998
902.64	3.221046
902.7401	3.171499
902.84	2.494618
902.9401	3.202617
903.0399	3.231881
903.14	3.184577
903.2401	3.189572
903.34	3.080822
903.4401	3.101121
903.5399	3.232765
903.64	3.234846
903.7401	3.204947
903.84	3.234911
903.9401	3.236668
904.0399	7.474067
904.14	3.398798
904.2401	3.12019
904.34	3.204695
904.4401	3.171499
904.5399	3.001141
904.64	3.225565
904.7401	3.231529
904.84	3.231739
904.9401	3.198296
905.04	3.194334
905.14	7.019075
905.2401	8.365407
905.34	3.183799
905.4401	3.216827
905.5399	2.887807
905.64	3.21398
905.7401	3.225877
905.84	3.227529
905.9401	3.222987
906.0399	3.223059
906.14	3.223598
906.2401	3.098641
906.34	3.069217
906.4401	3.16266
906.54	3.061547
906.64	3.041885
906.7401	3.212573
906.84	3.207658
906.9401	3.214424
907.04	3.180009
907.14	2.324525
907.2401	3.07476
907.34	3.184805
907.4401	2.542527
907.5399	3.145213
907.64	2.974617
907.7401	3.118766
907.84	3.216672
907.9401	3.219381
908.0399	3.213814
908.14	3.017498
908.2401	2.770657
908.34	2.822386
908.4401	3.049705
908.5399	3.209296
908.64	3.212219
908.7401	3.194524
908.84	3.133646
908.9401	2.493977
909.04	3.18093
909.14	3.206751
909.2401	3.071314
909.34	3.185524
909.4401	3.520637
909.5399	4.151398
909.64	2.988408
909.7401	3.097314
909.84	3.1683
909.9401	3.20957
910.0399	3.146563
910.14	3.095803
910.2401	2.590586
910.34	2.97477
910.4401	3.991109
910.5399	5.304343
910.64	3.334125
910.7401	2.991208
910.84	2.946855
910.9401	2.866177
911.0399	2.936219
911.14	3.125315
911.2401	3.198355
911.34	3.195791
911.4401	3.202203
911.54	3.177781
911.64	3.196653
911.7401	3.191146
911.84	3.135388
911.9401	3.090118
912.0399	2.896258
912.14	2.508715
912.2401	3.164585
912.34	3.186449
912.4401	3.200585
912.5399	3.200338
912.64	3.108668
912.7401	3.132785
912.84	3.196046
912.9401	3.176862
913.0399	3.035142
913.14	2.941263
