"Wavelength, microns"	"1st Turning Mirror"	"Tip/Tilt Mirror"	"OAP 1"	DM	"OAP 2"
0.65628	0.97	0.96	0.96	0.93	0.94
0.7	0.97	0.96	0.96	0.93	0.94
0.8	0.97	0.96	0.96	0.93	0.94
0.8498	0.97	0.96	0.96	0.93	0.94
0.8542	0.97	0.96	0.96	0.93	0.94
0.8662	0.97	0.96	0.96	0.93	0.94
1.2	0.97	0.96	0.96	0.93	0.94
1.3	0.97	0.96	0.96	0.93	0.94
1.4	0.97	0.96	0.96	0.93	0.94
1.5	0.97	0.96	0.96	0.93	0.94
1.6	0.97	0.96	0.96	0.93	0.94
1.7	0.97	0.96	0.96	0.93	0.94
1.8	0.97	0.96	0.96	0.93	0.94
1.9	0.97	0.96	0.96	0.93	0.94
2	0.97	0.96	0.96	0.93	0.94
2.1	0.97	0.96	0.96	0.93	0.94
2.2	0.97	0.96	0.96	0.93	0.94
2.3	0.97	0.96	0.96	0.93	0.94
2.4	0.97	0.96	0.96	0.93	0.94
2.5	0.97	0.96	0.96	0.93	0.94
