Denton FSS99-106 Reflectance at 45deg., derived from online graph by AHB 07/07
Wvl. (um) 	Refl. (%)
     0.400000      92.3571
     0.425000      92.5623
     0.450000      94.9134
     0.475000      96.9870
     0.500000      98.0909
     0.525000      98.3455
     0.550000      98.3636
     0.575000      98.2749
     0.600000      97.9033
     0.625000      97.3190
     0.650000      96.2121
     0.675000      95.5387
     0.700000      95.6775
     0.725000      96.6591
     0.750000      97.5550
     0.775000      98.0640
     0.800000      98.3813
     0.825000      98.6217
     0.850000      98.8268
     0.875000      98.9710
     0.900000      99.0839
     0.925000      99.1567
     0.950000      99.2161
     0.975000      99.2277
      1.00000      99.2373
      1.02500      99.2289
      1.05000      99.2205
      1.07500      99.2072
      1.10000      99.1790
      1.12500      99.1508
      1.15000      99.1361
      1.17500      99.1267
      1.20000      99.1146
      1.22500      99.0909
      1.25000      99.0671
      1.27500      99.0440
      1.30000      99.0240
      1.32500      99.0039
      1.35000      98.9681
      1.37500      98.9285
      1.40000      98.8889
      1.42500      98.8543
      1.45000      98.8208
      1.47500      98.7874
      1.50000      98.7521
      1.52500      98.7167
      1.55000      98.6734
      1.57500      98.6076
      1.60000      98.5418
      1.62500      98.4965
      1.65000      98.4589
      1.67500      98.4178
      1.70000      98.3624
      1.72500      98.3070
      1.75000      98.2553
      1.77500      98.2199
      1.80000      98.1845
      1.82500      98.1359
      1.85000      98.0740
      1.87500      98.0120
      1.90000      97.9677
      1.92500      97.9276
      1.95000      97.8831
      1.97500      97.8330
      2.00000      97.7832
      2.02500      97.7403
      2.05000      97.6973
      2.07500      97.6383
      2.10000      97.5764
      2.12500      97.5184
      2.15000      97.4826
      2.17500      97.4468
      2.20000      97.4109
      2.22500      97.3882
      2.25000      97.3681
      2.27500      97.3481
      2.30000      97.3280
      2.32500      97.3102
      2.35000      97.3191
      2.37500      97.3279
      2.40000      97.3372
      2.42500      97.3473
      2.45000      97.3576
      2.47500      97.3898
      2.50000      97.4221
      2.52500      97.4486
      2.55000      97.4737
      2.57500      97.4912
      2.60000      97.5079
      3.00000      97.5
      4.00000      97.5
      5.00000      97.5
      6.00000      97.5
