																												Custom Scientific,BS1				Custom Scientific, BS4				Newport AR.14		Melles Griot BBDS		Melles Griot single layer MGF2		Optimax XBBAR	
FSS99_106_45		FSS99_500_0		NaHG		Ag1		Aluminum		X1_Silver		Gold		Bare Gold		AR_Vis		AR		ARIR		Cold Stop		DM Window		ALPAO		TT-LGS,refl		TT-LGS,trans		WFS,trans		WFS, refl				high reflectivity		AR coating		AR coating	
Wvl. (um)       Refl. (%)		Wvl. (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μm)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μ)	Refl (%)	Wvl (μm)	Trans %	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wv (μm)	Trans %	Wv (μm)	Refl %	Wvl 	Refl	Wvl	Trans	Wvl	Trans	Wvl	Refl	Wvl	Trans	wvl	refl	wvl	trans	wvl	trans
																																											
0.4	92.3571	0.402328	87.1959	0.332985	84.8677	0.4	97.085	0.220	91.5	0.400189	93.0175	0.414286	14.9682	0.225	28.521	0.589	99.5	0.400	30.00	0.200	97.00	0.4	95.00	0.502456	99.523	0.403906	96.534	0.4	100	0.4	0	0.402596	0.239	0.402596	99.761	0.4	97.088	0.316	90	0.401	97.799	0.436089	97.01
0.425	92.5623	0.406302	88.6186	0.335522	88.254	0.4175	97.673	0.240	91.9	0.403333	93.3333	0.442857	17.5159	0.258	35.563	0.629289	99.5	0.420	60.00	0.250	97.00	0.45	95.00	0.508135	99.201	0.407812	97.096	0.412747	99.706	0.412747	0.294	0.402596	3.11	0.402596	96.89	0.403571	97.558	0.324	99.469	0.421	98.095	0.443347	98.175
0.45	94.9134	0.408935	89.7938	0.343134	92.0635	0.442	98.08	0.260	92.2	0.405853	93.6491	0.461905	20.3822	0.289	38.028	0.65272	99.538	0.500	97.98	0.300	97.00	0.5	95.00	0.513903	98.952	0.415625	97.479	0.415933	99.706	0.415933	0.294	0.405192	2.392	0.405192	97.608	0.412143	98.358	0.331	99.807	0.455	98.434	0.452419	99.161
0.475	96.987	0.414269	91.2165	0.353284	93.7566	0.4665	98.276	0.280	92.3	0.408998	93.9649	0.47619	23.2484	0.313	38.028	0.673222	99.754	0.520	98.71	0.350	97.00	0.55	95.00	0.516811	98.848	0.423438	97.849	0.42868	100	0.42868	0	0.407787	32.297	0.407787	67.703	0.421429	98.96	0.35	99.952	0.499	98.688	0.463306	99.643
0.5	98.0909	0.419571	93.0722	0.36597	95.1323	0.498	98.382	0.300	92.3	0.41402	94.3158	0.490476	28.0255	0.331	36.62	0.70251	99.815	0.540	99.26	0.400	97.00	0.6	95.00	0.522818	98.797	0.439062	98.26	0.43824	100	0.43824	0	0.410383	33.254	0.410383	66.746	0.430714	99.409	0.436	99.952	0.538	98.794	0.474194	99.79
0.525	98.3455	0.427618	94.6186	0.368507	95.3439	0.526	98.307	0.315	92.4	0.417794	94.7018	0.5	32.4841	0.359	36.62	0.734728	99.815	0.560	99.56	0.450	97.00	0.65	95.00	0.528951	98.848	0.470312	98.548	0.43824	68.529	0.43824	31.471	0.412979	70.335	0.412979	29.665	0.445	99.726	0.457	99.758	0.591	98.751	0.492339	99.685
0.55	98.3636	0.439755	96.0412	0.378657	94.2857	0.575	98.08	0.320	92.4	0.421561	94.9825	0.509524	36.6242	0.401	38.732	0.775732	99.815	0.580	99.65	0.500	97.00	0.7	95.00	0.53521	99.004	0.501562	98.671	0.441426	99.118	0.441426	0.882	0.415575	1.914	0.415575	98.086	0.463571	99.814	0.476	99.662	0.654	98.476	0.506855	99.601
0.575	98.2749	0.450574	96.9072	0.383731	93.0159	0.589	97.975	0.340	92.5	0.425329	95.2632	0.514286	42.3567	0.421	39.437	0.819665	99.815	0.600	99.59	0.550	97.00	0.75	95.00	0.544566	99.211	0.517188	98.712	0.444613	100	0.444613	0	0.418171	54.785	0.418171	45.215	0.485714	99.792	0.502	99.758	0.699	98.116	0.521371	99.559
0.6	97.9033	0.4682	97.7113	0.393881	91.746	0.687	97.176	0.360	92.5	0.429096	95.5439	0.52381	45.2229	0.438	39.437	0.869456	99.815	0.620	99.45	0.600	97.00	0.8	95.00	0.547677	99.274	0.548438	98.658	0.4478	79.412	0.4478	20.588	0.423362	3.828	0.423362	96.172	0.500714	99.737	0.552	99.855			0.548589	99.622
0.625	97.319	0.48721	98.2062	0.401493	90.582	0.7885	96.558	0.380	92.5	0.432862	95.7895	0.528571	48.4076	0.46	38.732	0.922176	99.785	0.640	99.30	0.650	97.00	0.85	95.00	0.553772	99.294	0.579687	98.548	0.450986	89.412	0.450986	10.588	0.425958	1.196	0.425958	98.804	0.522143	99.715	0.604	99.855			0.572177	99.696
0.65	96.2121	0.514389	98.6392	0.411642	90.7937	0.8235	96.422	0.400	92.4	0.437252	96.0351	0.533333	56.3694	0.482	39.789	0.977824	99.785	0.660	99.16	0.700	97.00	0.9	95.00	0.562838	99.263	0.603125	98.425	0.454173	100	0.454173	0	0.428554	2.871	0.428554	97.129	0.547857	99.737	0.657	99.71			0.595766	99.727
0.675	95.5387	0.544311	98.7629	0.416716	91.4286	0.8445	96.392	0.450	92.2	0.441643	96.2807	0.533333	56.3694	0.502	48.239	1.06569	99.723	0.680	99.05	0.750	97.00	0.95	95.00	0.571805	99.149	0.630469	98.274	0.45736	99.118	0.45736	0.882	0.433745	16.029	0.433745	83.971	0.574286	99.792	0.709	99.807			0.628427	99.696
0.7	95.6775	0.570157	98.8247	0.424328	92.5926	0.876	96.482	0.500	91.8	0.447912	96.5965	0.538095	64.6497	0.514	59.507	1.124268	99.538	0.700	98.98	0.800	97.00	1	95.00	0.577774	99.066	0.653906	98.11	0.460546	99.706	0.460546	0.294	0.436341	7.895	0.436341	92.105	0.599286	99.858	0.759	99.807			0.65746	99.643
0.725	96.6591	0.598724	98.8866	0.434478	94.0741	0.918	96.663	0.550	91.5	0.4523	96.807	0.547619	67.5159	0.535	76.761	1.188703	99.138	0.720	98.95	0.850	97.00	1.05	95.00	0.586828	99.024	0.68125	97.932	0.463733	83.529	0.463733	16.471	0.441533	27.99	0.441533	72.01	0.617143	99.858	0.851	99.807			0.682863	99.633
0.75	97.555	0.62729	98.9485	0.447164	95.873	0.946	96.829	0.600	91.1	0.456059	96.9474	0.557143	73.5669	0.58	88.028	1.250209	98.492	0.740	98.93	0.900	97.00	1.1	95.00	0.602078	99.087	0.716406	97.74	0.46692	72.647	0.46692	27.353	0.44932	6.459	0.44932	93.541	0.649286	99.781	0.914	99.71			0.735484	99.696
0.775	98.064	0.657227	98.8866	0.462388	97.037	0.995	96.754	0.650	90.5	0.461693	97.0877	0.566667	76.7516	0.589	89.085	1.288285	97.908	0.760	98.92	0.950	97.00	1.15	95.00	0.614343	99.190	0.763281	97.589	0.470106	83.824	0.470106	16.176	0.451916	27.99	0.451916	72.01	0.670714	99.639	0.951	99.807			0.771774	99.78
