# lambda(nm)  thruput-delta0.0  thruput-delta0.1
 800.00   -8.07353e-10   -3.14633e-02
 850.00   -6.84532e-11   -4.06850e-03
 900.00   -1.18691e-14    4.30125e-06
 950.00    3.81292e-13   -2.58128e-05
1000.00    7.06516e-13   -3.78067e-05
1050.00    2.25520e-13   -3.99558e-05
1100.00    1.42022e-12   -3.94410e-05
1150.00    1.06964e-11   -3.17987e-05
1200.00    6.02777e-09    3.06141e-04
1250.00    6.28199e-09    3.17165e-04
1300.00    4.48593e-09    3.27754e-04
1350.00    1.04272e-10   -1.89412e-05
1400.00    1.13130e-12   -8.91435e-06
1450.00    5.37313e-12   -3.15177e-05
1500.00    2.70026e-09    1.01934e-04
1550.00    4.43224e-09    3.28678e-04
1600.00    6.23900e-09    3.29544e-04
1650.00    5.28547e-09    3.23630e-04
1700.00    6.07808e-09    3.41234e-04
1750.00    3.60381e-09    3.05563e-04
1800.00    1.79332e-09    4.59918e-05
1850.00    2.34607e-12   -1.68968e-05
1900.00    7.52473e-13    2.04042e-07
1950.00    1.41047e-09    5.79173e-05
2000.00    2.59990e-09    2.24435e-04
2050.00    7.65847e-09    3.07618e-04
2100.00    5.94663e-09    3.97545e-04
2150.00    3.65586e-09    4.08752e-04
2200.00    6.80474e-09    3.64673e-04
2250.00    5.33606e-09    3.81436e-04
2300.00    1.28832e-09    3.79521e-05
