# lambdas(nm)  output
 600.00    1.72684e-23
 650.00    5.07516e-13
 700.00    1.82899e-13
 750.00    2.25050e-15
 800.00    8.65529e-15
 850.00    2.85403e-13
 900.00    6.29895e-12
 950.00    9.92070e-11
1000.00    1.17358e-09
1050.00    1.08683e-08
1100.00    8.15024e-08
1150.00    5.08927e-07
1200.00    2.70834e-06
1250.00    1.25248e-05
1300.00    5.11688e-05
1350.00    1.87279e-04
1400.00    6.21479e-04
1450.00    1.88928e-03
1500.00    5.30857e-03
1550.00    1.38945e-02
1600.00    3.41067e-02
1650.00    7.89874e-02
1700.00    1.73489e-01
1750.00    3.63076e-01
1800.00    7.26990e-01
1850.00    1.39783e+00
1900.00    2.58943e+00
1950.00    4.63498e+00
2000.00    8.03777e+00
2050.00    1.35364e+01
2100.00    2.21861e+01
2150.00    3.54582e+01
2200.00    5.53579e+01
2250.00    8.45599e+01
2300.00    1.26564e+02
