#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     900.0400       3.494177
     900.1400       3.683452
     900.2401       2.950848
     900.3400      14.329397
     900.4401      12.231174
     900.5399       3.163728
     900.6400       2.642481
     900.7401       3.231050
     900.8400       3.227163
     900.9401       3.002316
     901.0399       2.999428
     901.1400       3.158326
     901.2401       3.235427
     901.3400       3.215974
     901.4401       2.687768
     901.5399       3.220193
     901.6400       3.221921
     901.7401       3.232505
     901.8400       3.074230
     901.9401       2.234421
     902.0399       3.161800
     902.1400       3.230871
     902.2401       3.228586
     902.3400       3.230220
     902.4399       3.125097
     902.5400       2.716998
     902.6400       3.221046
     902.7401       3.171499
     902.8400       2.494618
     902.9401       3.202617
     903.0399       3.231881
     903.1400       3.184577
     903.2401       3.189572
     903.3400       3.080822
     903.4401       3.101121
     903.5399       3.232765
     903.6400       3.234846
     903.7401       3.204947
     903.8400       3.234911
     903.9401       3.236668
     904.0399       7.474067
     904.1400       3.398798
     904.2401       3.120190
     904.3400       3.204695
     904.4401       3.171499
     904.5399       3.001141
     904.6400       3.225565
     904.7401       3.231529
     904.8400       3.231739
     904.9401       3.198296
     905.0400       3.194334
     905.1400       7.019075
     905.2401       8.365407
     905.3400       3.183799
     905.4401       3.216827
     905.5399       2.887807
     905.6400       3.213980
     905.7401       3.225877
     905.8400       3.227529
     905.9401       3.222987
     906.0399       3.223059
     906.1400       3.223598
     906.2401       3.098641
     906.3400       3.069217
     906.4401       3.162660
     906.5400       3.061547
     906.6400       3.041885
     906.7401       3.212573
     906.8400       3.207658
     906.9401       3.214424
     907.0400       3.180009
     907.1400       2.324525
     907.2401       3.074760
     907.3400       3.184805
     907.4401       2.542527
     907.5399       3.145213
     907.6400       2.974617
     907.7401       3.118766
     907.8400       3.216672
     907.9401       3.219381
     908.0399       3.213814
     908.1400       3.017498
     908.2401       2.770657
     908.3400       2.822386
     908.4401       3.049705
     908.5399       3.209296
     908.6400       3.212219
     908.7401       3.194524
     908.8400       3.133646
     908.9401       2.493977
     909.0400       3.180930
     909.1400       3.206751
     909.2401       3.071314
     909.3400       3.185524
     909.4401       3.520637
     909.5399       4.151398
     909.6400       2.988408
     909.7401       3.097314
     909.8400       3.168300
     909.9401       3.209570
     910.0399       3.146563
     910.1400       3.095803
     910.2401       2.590586
     910.3400       2.974770
     910.4401       3.991109
     910.5399       5.304343
     910.6400       3.334125
     910.7401       2.991208
     910.8400       2.946855
     910.9401       2.866177
     911.0399       2.936219
     911.1400       3.125315
     911.2401       3.198355
     911.3400       3.195791
     911.4401       3.202203
     911.5400       3.177781
     911.6400       3.196653
     911.7401       3.191146
     911.8400       3.135388
     911.9401       3.090118
     912.0399       2.896258
     912.1400       2.508715
     912.2401       3.164585
     912.3400       3.186449
     912.4401       3.200585
     912.5399       3.200338
     912.6400       3.108668
     912.7401       3.132785
     912.8400       3.196046
     912.9401       3.176862
     913.0399       3.035142
     913.1400       2.941263
     913.2401       2.860011
     913.3400       2.697308
     913.4401       3.128636
     913.5399       3.115444
     913.6400       3.068031
     913.7401       3.002752
     913.8400       2.734395
     913.9399       2.474781
     914.0400       3.165034
     914.1400       3.189576
     914.2401       3.159482
     914.3400       3.126274
     914.4401       3.188676
     914.5399       3.142655
     914.6400       3.063255
     914.7401       3.144971
     914.8400       3.158901
     914.9401       3.170228
     915.0399       3.177860
     915.1400       3.153218
     915.2401       3.045525
     915.3400       3.122822
     915.4401       3.349926
     915.5399       2.606322
     915.6400       3.112803
     915.7401       2.853137
     915.8400       2.293575
     915.9401       3.068682
     916.0399       3.175246
     916.1400       3.179981
     916.2401       3.060314
     916.3400       3.442884
     916.4401       3.554852
     916.5400       3.143824
     916.6400       3.099696
     916.7401       3.170937
     916.8400       3.185492
     916.9401       3.158165
     917.0399       3.027699
     917.1400       3.083180
     917.2401       3.151885
     917.3400       3.151223
     917.4401       3.113378
     917.5399       2.926861
     917.6400       2.637848
     917.7401       2.816136
     917.8400       3.078856
     917.9401       2.863687
     918.0400       3.150071
     918.1400       3.106671
     918.2401       3.169856
     918.3400       3.048065
     918.4401       3.127151
     918.5399       3.156121
     918.6400       3.018697
     918.7401       2.802180
     918.8400       3.154207
     918.9401       3.149845
     919.0400       3.168519
     919.1400       3.177126
     919.2401       3.137332
     919.3400       3.163037
     919.4401       3.123355
     919.5399       3.057083
     919.6400       3.172988
     919.7401       2.986560
     919.8400       2.826874
     919.9401       3.164671
     920.0399       3.171297
     920.1400       3.144077
     920.2401       3.169714
     920.3400       3.165155
     920.4401       3.171932
     920.5400       3.172029
     920.6400       3.164626
     920.7401       3.150435
     920.8400       3.092042
     920.9401       3.107263
     921.0399       3.104065
     921.1400       3.118422
     921.2401       3.163225
     921.3400       3.159139
     921.4401       3.165686
     921.5399       3.077228
     921.6400       3.139368
     921.7401       2.979881
     921.8400       3.175398
     921.9401       3.001939
     922.0399       3.075285
     922.1400       3.165174
     922.2401       3.158067
     922.3400       3.157724
     922.4401       3.097652
     922.5399       3.159816
     922.6400       3.229196
     922.7401       3.049423
     922.8400       3.207905
     922.9401       3.161731
     923.0400       3.158022
     923.1400       3.114915
     923.2401       3.100482
     923.3400       3.114804
     923.4401       3.151731
     923.5399       3.082767
     923.6400       3.154857
     923.7401       3.023585
     923.8400       3.130474
     923.9401       3.129971
     924.0399       3.039204
     924.1400       3.059159
     924.2401       3.117604
     924.3400       3.118935
     924.4401       3.150078
     924.5399       3.087451
     924.6400       3.117685
     924.7401       3.010325
     924.8400       3.007529
     924.9401       3.072292
     925.0399       3.152510
     925.1400       3.132260
     925.2401       3.106408
     925.3400       2.962932
     925.4399       3.118574
     925.5400       3.117803
     925.6400       3.116320
     925.7401       3.112717
     925.8400       3.148926
     925.9401       3.127599
     926.0399       3.142693
     926.1400       3.107924
     926.2401       3.049531
     926.3400       2.998032
     926.4401       3.054159
     926.5399       3.097464
     926.6400       3.135108
