Table 3
Measured Emission Lines

		Mrk 348	Mrk 573	Mrk 1066	NGC 7212	NGC 7465	
Line Nucleus	lambda (mum)	Flux	FWHM	Flux	FWHM	Flux	FWHM	Flux	FWHM	Flux	FWHM	
[S III]	0.907	63.4 +or- 1.6	600 +or- 20	116 +or- 3	470 +or- 20	157 +or- 4	300 +or- 20	35.2 +or- 0.8	660 +or- 30	21.5 +or- 2.6	750 +or- 170	
[S III]	0.953	141.3 +or- 1.5	420 +or- 10	279 +or- 3	378 +or- 8	429 +or- 4	340 +or- 10	82 +or- 1	550 +or- 10	32.3 +or- 1.9	 ... 	
O I + He I ?	0.962	5.9 +or- 0.9	920 +or- 110	26.5 +or- 1.7	680 +or- 50	 ... 	 ... 	5.6 +or- 0.4	510 +or- 60	 ... 	 ... 	
[C I]	0.982	2.7 +or- 0.6	680 +or- 190	2.9 +or- 0.6	260 +or- 90	11.3 +or- 2.4	 ... 	0.3 +or- 0.6	 ... 	1.89 +or- 1.27	 ... 	
[C I]	0.985	5.1 +or- 0.4	420 +or- 50	5.4 +or- 0.8	250 +or- 90	40.4 +or- 3.1	620 +or- 70	2.3 +or- 0.6	730 +or- 260	2.57 +or- 1.36	400 +or- 400	
[S VIII]	0.991	2.1 +or- 0.4	160 +or- 90	13.6 +or- 0.8	200 +or- 40	 ... 	 ... 	1.6 +or- 0.3	540 +or- 180	3.1 +or- 3.7	560 +or- 560	
Padelta	1.005	2.7 +or- 0.4	260 +or- 90	4.4 +or- 0.5	 ... 	23.5 +or- 1.4	30 +or- 30	3.1 +or- 0.3	560 +or- 100	2.8 +or- 0.9	400 +or- 200	
He II	1.012	4.6 +or- 0.4	520 +or- 70	21.3 +or- 0.8	510 +or- 30	13.5 +or- 1.7	560 +or- 90	3.7 +or- 0.3	570 +or- 80	2.8 +or- 0.8	190 +or- 190	
[S II]	1.029	6 +or- 1	500 +or- 100	5.6 +or- 0.7	210 +or- 80	9.98 +or- 1.34	 ... 	1.5 +or- 0.5	 ... 	 ... 	 ... 	
[S II]	1.032	16.4 +or- 1.4	1100+or- 100	9.4 +or- 0.9	670 +or- 90	30.6 +or- 1.8	650 +or- 60	6 +or- 1	1100+or- 190	 ... 	 ... 	
He I	1.083	79 +or- 2	540 +or- 20	119 +or- 2	370 +or- 14	240 +or- 4	410 +or- 10	52.1 +or- 0.6	580 +or- 10	34.9 +or- 2.9	1060 +or- 130	
Pagamma	1.094	7.1 +or- 1.2	650 +or- 150	16.6 +or- 1.6	430 +or- 60	59.4 +or- 3.7	240 +or- 40	4.8 +or- 0.6	 ... 	4.5 +or- 1.4	220 +or- 180	
O I	1.128	 ... 	 ... 	2.6 +or- 0.9	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
[P II]	1.147	1.6 +or- 0.3	640 +or- 140	3.3 +or- 0.7	340 +or- 140	18.9 +or- 2.6	580 +or- 120	0.8 +or- 0.2	 ... 	 ... 	 ... 	
He II	1.163	0.7 +or- 0.3	 ... 	 ... 	 ... 	3.81 +or- 1.79	 ... 	 ... 	 ... 	 ... 	 ... 	
[P II]	1.188	2.9 +or- 0.4	510 +or- 120	3.4 +or- 0.7	 ... 	33.6 +or- 2.9	620 +or- 90	2.8 +or- 0.3	630 +or- 90	:1.6	 ... 	
[S IX]	1.252	2.9 +or- 0.7	500 +or- 100	8.5 +or- 0.7	200 +or- 40	 ... 	 ... 	1.0 +or- 0.2	 ... 	 ... 	 ... 	
[Fe II]	1.257	12 +or- 1	400 +or- 40	17 +or- 1	620 +or- 50	92.2 +or- 1.9	360 +or- 10	10.2 +or- 0.4	750 +or- 40	8.2 +or- 0.7	200 +or- 50	
Pabeta narrow	1.282	12.1 +or- 0.6	340 +or- 30	15.7 +or- 1.3	 ... 	116.3 +or- 2.8	160 +or- 10	11.9 +or- 0.5	580 +or- 30	6.4 +or- 1.6	120 +or- 80	
Pabeta broad	1.282	 ... 	 ... 	16 +or- 3	1700 +or- 400	 ... 	 ... 	 ... 	 ... 	13 +or- 3	2300 +or- 450	
Ne II ?	1.287	5 +or- 1	770 +or- 140	10.3 +or- 1.7	270 +or- 50	15.7 +or- 2.6	 ... 	4.6 +or- 0.6	800 +or- 150	2.2 +or- 0.8	 ... 	
Ne I ?	1.292	0.4 +or- 0.2	 ... 	8.6 +or- 0.9	350 +or- 60	8.55 +or- 2.55	 ... 	1.9 +or- 0.5	450 +or- 180	 ... 	 ... 	
