# Name    z    J    V   type
mkn335  0.026 12.6 13.9 S1n
mkn590  0.026 12.4 13.8 S1.0
ark120  0.033 12.0 13.9 S1.0
mkn79   0.022 12.5 14.3 S1.2
pg0844  0.064 13.4 14.5 S1.0
mkn110  0.035 13.9 16.4 S1n
ngc3227 0.004 11.3 11.8 S1.5
ngc4151 0.003 10.3 11.9 S1.5
3c273   0.158 11.8 12.9 S1.0
he1228  0.117 13.7 14.4 S1n
ngc4593 0.009 11.7 13.2 S1.0
ngc5548 0.017 11.8 13.7 S1.5
mkn817  0.031 12.9 13.8 S1.5
mkn290  0.030 13.6 15.3 S1.5
mkn876  0.129 13.2 15.5 S1.0
pds456  0.184 12.0 14.0 S1
iras175 0.300 14.0 15.8 S1.2
h1821   0.297 12.8 14.2 S1.2
h1934   0.011 12.7 15.4 S1.5
mkn509  0.034 12.0 13.1 S1.5
h2106   0.027 12.9 14.4 S1.2
ark564  0.025 13.2 14.2 S3
ngc7469 0.016 11.4 13.0 S1.5
